Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Tom Hammonds,WSB,1989-1990, 6-9,PF,22,61,805,13.1967213115,129,295,.437,0,1,.000,63,98,.643,61,1.0,107,1.75409836066,168,2.75409836066,51,0.83606557377,11,0.180327868852,14,0.229508196721,46,0.754098360656,98,321,5.26229508197,
Tom Hammonds,WSB,1990-1991, 6-9,PF,23,70,1023,14.6142857143,155,336,.461,0,4,.000,57,79,.722,58,0.828571428571,148,2.11428571429,206,2.94285714286,43,0.614285714286,15,0.214285714286,7,0.1,54,0.771428571429,108,367,5.24285714286,
Tom Hammonds,WSB,1991-1992, 6-9,PF,24,37,984,26.5945945946,195,400,.488,0,1,.000,50,82,.610,49,1.32432432432,136,3.67567567568,185,5.0,36,0.972972972973,22,0.594594594595,13,0.351351351351,58,1.56756756757,118,440,11.8918918919,
Tom Hammonds,TOT,1992-1993, 6-9,PF,25,54,713,13.2037037037,105,221,.475,0,1,.000,38,62,.613,38,0.703703703704,89,1.64814814815,127,2.35185185185,24,0.444444444444,18,0.333333333333,12,0.222222222222,34,0.62962962963,77,248,4.59259259259,
Tom Hammonds,CHH,1992-1993, 6-9,PF,25,19,142,7.47368421053,19,45,.422,0,0,.000,5,8,.625,5,0.263157894737,26,1.36842105263,31,1.63157894737,8,0.421052631579,0,0.0,4,0.210526315789,3,0.157894736842,20,43,2.26315789474,
Tom Hammonds,DEN,1992-1993, 6-9,PF,25,35,571,16.3142857143,86,176,.489,0,1,.000,33,54,.611,33,0.942857142857,63,1.8,96,2.74285714286,16,0.457142857143,18,0.514285714286,8,0.228571428571,31,0.885714285714,57,205,5.85714285714,
Tom Hammonds,DEN,1993-1994, 6-9,PF,26,74,877,11.8513513514,115,230,.500,0,0,.000,71,104,.683,62,0.837837837838,137,1.85135135135,199,2.68918918919,34,0.459459459459,20,0.27027027027,12,0.162162162162,41,0.554054054054,91,301,4.06756756757,
Tom Hammonds,DEN,1994-1995, 6-9,PF,27,70,956,13.6571428571,139,260,.535,0,1,.000,132,177,.746,55,0.785714285714,167,2.38571428571,222,3.17142857143,36,0.514285714286,11,0.157142857143,14,0.2,56,0.8,132,410,5.85714285714,
Tom Hammonds,DEN,1995-1996, 6-9,PF,28,71,1045,14.7183098592,127,268,.474,0,0,.000,88,115,.765,85,1.19718309859,138,1.94366197183,223,3.14084507042,23,0.323943661972,23,0.323943661972,13,0.183098591549,48,0.676056338028,137,342,4.81690140845,
Tom Hammonds,DEN,1996-1997, 6-9,PF,29,81,1758,21.7037037037,191,398,.480,0,2,.000,124,172,.721,135,1.66666666667,266,3.28395061728,401,4.95061728395,64,0.79012345679,16,0.197530864198,24,0.296296296296,88,1.08641975309,205,506,6.24691358025,
Tom Hammonds,MIN,1997-1998, 6-9,PF,30,57,1140,20.0,127,246,.516,0,1,.000,92,132,.697,100,1.75438596491,171,3.0,271,4.75438596491,36,0.631578947368,15,0.263157894737,17,0.298245614035,48,0.842105263158,127,346,6.0701754386,
Tom Hammonds,MIN,1998-1999, 6-9,PF,31,49,716,14.612244898,82,179,.458,0,0,.000,48,75,.640,54,1.10204081633,82,1.67346938776,136,2.77551020408,20,0.408163265306,8,0.163265306122,7,0.142857142857,32,0.65306122449,88,212,4.32653061224,
Tom Hammonds,MIN,1999-2000, 6-9,PF,32,56,372,6.64285714286,42,97,.433,0,0,.000,33,56,.589,34,0.607142857143,67,1.19642857143,101,1.80357142857,10,0.178571428571,8,0.142857142857,3,0.0535714285714,21,0.375,55,117,2.08928571429,
Tom Hammonds,MIN,2000-2001, 6-9,PF,33,7,30,4.28571428571,3,10,.300,0,0,.000,1,2,.500,2,0.285714285714,2,0.285714285714,4,0.571428571429,1,0.142857142857,0,0.0,0,0.0,3,0.428571428571,8,7,1.0,
