Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Tom Meschery,PHW,1961-1962, 6-6,PF,23,80,2509,31.3625,375,929,.404,.000,.000,.000,216,262,.824,.000,0.0,.000,0.0,729,9.1125,145,1.8125,.000,0.0,.000,0.0,.000,0.0,330,966,12.075,
Tom Meschery,SFW,1962-1963, 6-6,PF,24,64,2245,35.078125,397,935,.425,.000,.000,.000,228,313,.728,.000,0.0,.000,0.0,624,9.75,104,1.625,.000,0.0,.000,0.0,.000,0.0,249,1022,15.96875,
Tom Meschery,SFW,1963-1964, 6-6,SF,25,80,2422,30.275,436,951,.458,.000,.000,.000,207,295,.702,.000,0.0,.000,0.0,612,7.65,149,1.8625,.000,0.0,.000,0.0,.000,0.0,288,1079,13.4875,
Tom Meschery,SFW,1964-1965, 6-6,SF,26,79,2408,30.4810126582,361,917,.394,.000,.000,.000,278,370,.751,.000,0.0,.000,0.0,655,8.29113924051,106,1.3417721519,.000,0.0,.000,0.0,.000,0.0,279,1000,12.6582278481,
Tom Meschery,SFW,1965-1966, 6-6,PF,27,80,2383,29.7875,401,895,.448,.000,.000,.000,224,293,.765,.000,0.0,.000,0.0,716,8.95,81,1.0125,.000,0.0,.000,0.0,.000,0.0,285,1026,12.825,
Tom Meschery,SFW,1966-1967, 6-6,PF,28,72,1846,25.6388888889,293,706,.415,.000,.000,.000,175,244,.717,.000,0.0,.000,0.0,549,7.625,94,1.30555555556,.000,0.0,.000,0.0,.000,0.0,264,761,10.5694444444,
Tom Meschery,SEA,1967-1968, 6-6,SF,29,82,2857,34.8414634146,473,1008,.469,.000,.000,.000,244,345,.707,.000,0.0,.000,0.0,840,10.243902439,193,2.35365853659,.000,0.0,.000,0.0,.000,0.0,323,1190,14.512195122,
Tom Meschery,SEA,1968-1969, 6-6,SF,30,82,2673,32.5975609756,462,1019,.453,.000,.000,.000,220,299,.736,.000,0.0,.000,0.0,822,10.0243902439,194,2.36585365854,.000,0.0,.000,0.0,.000,0.0,304,1144,13.9512195122,
Tom Meschery,SEA,1969-1970, 6-6,SF,31,80,2294,28.675,394,818,.482,.000,.000,.000,196,248,.790,.000,0.0,.000,0.0,666,8.325,157,1.9625,.000,0.0,.000,0.0,.000,0.0,317,984,12.3,
Tom Meschery,SEA,1970-1971, 6-6,PF,32,79,1822,23.0632911392,285,615,.463,.000,.000,.000,162,216,.750,.000,0.0,.000,0.0,485,6.13924050633,108,1.36708860759,.000,0.0,.000,0.0,.000,0.0,202,732,9.26582278481,
