Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Tom Sanders,BOS,1960-1961, 6-6,SF,22,68,1084,15.9411764706,148,352,.420,.000,.000,.000,67,100,.670,.000,0.0,.000,0.0,385,5.66176470588,44,0.647058823529,.000,0.0,.000,0.0,.000,0.0,131,363,5.33823529412,
Tom Sanders,BOS,1961-1962, 6-6,SF,23,80,2325,29.0625,350,804,.435,.000,.000,.000,197,263,.749,.000,0.0,.000,0.0,762,9.525,74,0.925,.000,0.0,.000,0.0,.000,0.0,279,897,11.2125,
Tom Sanders,BOS,1962-1963, 6-6,SF,24,80,2148,26.85,339,744,.456,.000,.000,.000,186,252,.738,.000,0.0,.000,0.0,576,7.2,95,1.1875,.000,0.0,.000,0.0,.000,0.0,262,864,10.8,
Tom Sanders,BOS,1963-1964, 6-6,PF,25,80,2370,29.625,349,836,.417,.000,.000,.000,213,280,.761,.000,0.0,.000,0.0,667,8.3375,102,1.275,.000,0.0,.000,0.0,.000,0.0,277,911,11.3875,
Tom Sanders,BOS,1964-1965, 6-6,PF,26,80,2459,30.7375,374,871,.429,.000,.000,.000,193,259,.745,.000,0.0,.000,0.0,661,8.2625,92,1.15,.000,0.0,.000,0.0,.000,0.0,318,941,11.7625,
Tom Sanders,BOS,1965-1966, 6-6,PF,27,72,1896,26.3333333333,349,816,.428,.000,.000,.000,211,276,.764,.000,0.0,.000,0.0,508,7.05555555556,90,1.25,.000,0.0,.000,0.0,.000,0.0,317,909,12.625,
Tom Sanders,BOS,1966-1967, 6-6,SF,28,81,1926,23.7777777778,323,755,.428,.000,.000,.000,178,218,.817,.000,0.0,.000,0.0,439,5.41975308642,91,1.12345679012,.000,0.0,.000,0.0,.000,0.0,304,824,10.1728395062,
Tom Sanders,BOS,1967-1968, 6-6,SF,29,78,1981,25.3974358974,296,691,.428,.000,.000,.000,200,255,.784,.000,0.0,.000,0.0,454,5.82051282051,100,1.28205128205,.000,0.0,.000,0.0,.000,0.0,300,792,10.1538461538,
Tom Sanders,BOS,1968-1969, 6-6,SF,30,82,2184,26.6341463415,364,847,.430,.000,.000,.000,187,255,.733,.000,0.0,.000,0.0,574,7.0,110,1.34146341463,.000,0.0,.000,0.0,.000,0.0,293,915,11.1585365854,
Tom Sanders,BOS,1969-1970, 6-6,SF,31,57,1616,28.350877193,246,555,.443,.000,.000,.000,161,183,.880,.000,0.0,.000,0.0,314,5.50877192982,92,1.61403508772,.000,0.0,.000,0.0,.000,0.0,199,653,11.4561403509,
Tom Sanders,BOS,1970-1971, 6-6,SF,32,17,121,7.11764705882,16,44,.364,.000,.000,.000,7,8,.875,.000,0.0,.000,0.0,17,1.0,11,0.647058823529,.000,0.0,.000,0.0,.000,0.0,25,39,2.29411764706,
Tom Sanders,BOS,1971-1972, 6-6,SF,33,82,1631,19.8902439024,215,524,.410,.000,.000,.000,111,136,.816,.000,0.0,.000,0.0,353,4.30487804878,98,1.19512195122,.000,0.0,.000,0.0,.000,0.0,257,541,6.59756097561,
Tom Sanders,BOS,1972-1973, 6-6,SF,34,59,423,7.16949152542,47,149,.315,.000,.000,.000,23,35,.657,.000,0.0,.000,0.0,88,1.49152542373,27,0.457627118644,.000,0.0,.000,0.0,.000,0.0,82,117,1.98305084746,
