Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Tom Van Arsdale,DET,1965-1966, 6-5,SG,22,79,2041,25.835443038,312,834,.374,.000,.000,.000,209,290,.721,.000,0.0,.000,0.0,309,3.91139240506,205,2.59493670886,.000,0.0,.000,0.0,.000,0.0,251,833,10.5443037975,
Tom Van Arsdale,DET,1966-1967, 6-5,SG,23,79,2134,27.0126582278,347,887,.391,.000,.000,.000,272,347,.784,.000,0.0,.000,0.0,341,4.3164556962,193,2.44303797468,.000,0.0,.000,0.0,.000,0.0,241,966,12.2278481013,
Tom Van Arsdale,TOT,1967-1968, 6-5,SG,24,77,1514,19.6623376623,211,545,.387,.000,.000,.000,188,252,.746,.000,0.0,.000,0.0,225,2.92207792208,155,2.01298701299,.000,0.0,.000,0.0,.000,0.0,202,610,7.92207792208,
Tom Van Arsdale,DET,1967-1968, 6-5,SG,24,50,832,16.64,114,307,.371,.000,.000,.000,101,136,.743,.000,0.0,.000,0.0,132,2.64,79,1.58,.000,0.0,.000,0.0,.000,0.0,119,329,6.58,
Tom Van Arsdale,CIN,1967-1968, 6-5,SF,24,27,682,25.2592592593,97,238,.408,.000,.000,.000,87,116,.750,.000,0.0,.000,0.0,93,3.44444444444,76,2.81481481481,.000,0.0,.000,0.0,.000,0.0,83,281,10.4074074074,
Tom Van Arsdale,CIN,1968-1969, 6-5,SG,25,77,3059,39.7272727273,547,1233,.444,.000,.000,.000,398,533,.747,.000,0.0,.000,0.0,356,4.62337662338,208,2.7012987013,.000,0.0,.000,0.0,.000,0.0,300,1492,19.3766233766,
Tom Van Arsdale,CIN,1969-1970, 6-5,SF,26,71,2544,35.8309859155,620,1376,.451,.000,.000,.000,381,492,.774,.000,0.0,.000,0.0,463,6.52112676056,155,2.18309859155,.000,0.0,.000,0.0,.000,0.0,247,1621,22.8309859155,
Tom Van Arsdale,CIN,1970-1971, 6-5,SF,27,82,3146,38.3658536585,749,1642,.456,.000,.000,.000,377,523,.721,.000,0.0,.000,0.0,499,6.08536585366,181,2.20731707317,.000,0.0,.000,0.0,.000,0.0,294,1875,22.8658536585,
Tom Van Arsdale,CIN,1971-1972, 6-5,SF,28,73,2598,35.5890410959,550,1205,.456,.000,.000,.000,299,396,.755,.000,0.0,.000,0.0,350,4.79452054795,198,2.71232876712,.000,0.0,.000,0.0,.000,0.0,241,1399,19.1643835616,
Tom Van Arsdale,TOT,1972-1973, 6-5,SF,29,79,2311,29.253164557,445,1043,.427,.000,.000,.000,250,308,.812,.000,0.0,.000,0.0,358,4.53164556962,152,1.92405063291,.000,0.0,.000,0.0,.000,0.0,224,1140,14.4303797468,
Tom Van Arsdale,KCO,1972-1973, 6-5,SF,29,49,1282,26.1632653061,250,547,.457,.000,.000,.000,110,140,.786,.000,0.0,.000,0.0,173,3.5306122449,90,1.83673469388,.000,0.0,.000,0.0,.000,0.0,123,610,12.4489795918,
Tom Van Arsdale,PHI,1972-1973, 6-5,SF,29,30,1029,34.3,195,496,.393,.000,.000,.000,140,168,.833,.000,0.0,.000,0.0,185,6.16666666667,62,2.06666666667,.000,0.0,.000,0.0,.000,0.0,101,530,17.6666666667,
Tom Van Arsdale,PHI,1973-1974, 6-5,SF,30,78,3041,38.9871794872,614,1433,.428,.000,.000,.000,298,350,.851,88,1.12820512821,305,3.91025641026,393,5.03846153846,202,2.58974358974,62,0.794871794872,3,0.0384615384615,.000,0.0,300,1526,19.5641025641,
Tom Van Arsdale,TOT,1974-1975, 6-5,SF,31,82,2843,34.6707317073,593,1385,.428,.000,.000,.000,322,424,.759,77,0.939024390244,201,2.4512195122,278,3.39024390244,223,2.71951219512,91,1.10975609756,3,0.0365853658537,.000,0.0,257,1508,18.3902439024,
Tom Van Arsdale,PHI,1974-1975, 6-5,SF,31,9,273,30.3333333333,49,116,.422,.000,.000,.000,28,41,.683,7,0.777777777778,22,2.44444444444,29,3.22222222222,16,1.77777777778,13,1.44444444444,0,0.0,.000,0.0,26,126,14.0,
Tom Van Arsdale,ATL,1974-1975, 6-5,SF,31,73,2570,35.2054794521,544,1269,.429,.000,.000,.000,294,383,.768,70,0.958904109589,179,2.45205479452,249,3.41095890411,207,2.83561643836,78,1.06849315068,3,0.041095890411,.000,0.0,231,1382,18.9315068493,
Tom Van Arsdale,ATL,1975-1976, 6-5,SF,32,75,2026,27.0133333333,346,785,.441,.000,.000,.000,126,166,.759,35,0.466666666667,151,2.01333333333,186,2.48,146,1.94666666667,57,0.76,7,0.0933333333333,.000,0.0,202,818,10.9066666667,
Tom Van Arsdale,PHO,1976-1977, 6-5,SF,33,77,1425,18.5064935065,171,395,.433,.000,.000,.000,102,145,.703,47,0.61038961039,137,1.77922077922,184,2.38961038961,67,0.87012987013,20,0.25974025974,3,0.038961038961,.000,0.0,163,444,5.76623376623,
