Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Tommy Byrnes,NYK,1946-1947, 6-3,,23,60,.000,0.0,175,583,.300,.000,.000,.000,103,160,.644,.000,0.0,.000,0.0,.000,0.0,35,0.583333333333,.000,0.0,.000,0.0,.000,0.0,90,453,7.55,
Tommy Byrnes,NYK,1947-1948, 6-3,,24,47,.000,0.0,117,410,.285,.000,.000,.000,65,103,.631,.000,0.0,.000,0.0,.000,0.0,17,0.36170212766,.000,0.0,.000,0.0,.000,0.0,56,299,6.36170212766,
Tommy Byrnes,TOT,1948-1949, 6-3,,25,57,.000,0.0,160,525,.305,.000,.000,.000,92,149,.617,.000,0.0,.000,0.0,.000,0.0,102,1.78947368421,.000,0.0,.000,0.0,.000,0.0,84,412,7.22807017544,
Tommy Byrnes,NYK,1948-1949, 6-3,,25,35,.000,0.0,77,270,.285,.000,.000,.000,46,81,.568,.000,0.0,.000,0.0,.000,0.0,54,1.54285714286,.000,0.0,.000,0.0,.000,0.0,53,200,5.71428571429,
Tommy Byrnes,INJ,1948-1949, 6-3,,25,22,.000,0.0,83,255,.325,.000,.000,.000,46,68,.676,.000,0.0,.000,0.0,.000,0.0,48,2.18181818182,.000,0.0,.000,0.0,.000,0.0,31,212,9.63636363636,
Tommy Byrnes,BLB,1949-1950, 6-3,,26,53,.000,0.0,120,397,.302,.000,.000,.000,87,124,.702,.000,0.0,.000,0.0,.000,0.0,88,1.66037735849,.000,0.0,.000,0.0,.000,0.0,76,327,6.16981132075,
Tommy Byrnes,TOT,1950-1951, 6-3,,27,47,.000,0.0,81,267,.303,.000,.000,.000,55,84,.655,.000,0.0,.000,0.0,71,1.51063829787,69,1.46808510638,.000,0.0,.000,0.0,.000,0.0,81,217,4.6170212766,
Tommy Byrnes,BLB,1950-1951, 6-3,,27,16,.000,0.0,35,100,.350,.000,.000,.000,20,28,.714,.000,0.0,.000,0.0,27,1.6875,21,1.3125,.000,0.0,.000,0.0,.000,0.0,28,90,5.625,
Tommy Byrnes,WSC,1950-1951, 6-3,,27,12,.000,0.0,13,65,.200,.000,.000,.000,14,27,.519,.000,0.0,.000,0.0,11,0.916666666667,16,1.33333333333,.000,0.0,.000,0.0,.000,0.0,20,40,3.33333333333,
Tommy Byrnes,TRI,1950-1951, 6-3,,27,19,.000,0.0,33,102,.324,.000,.000,.000,21,29,.724,.000,0.0,.000,0.0,33,1.73684210526,32,1.68421052632,.000,0.0,.000,0.0,.000,0.0,33,87,4.57894736842,
