Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Toni Kukoc,CHI,1993-1994, 6-10,SF,25,75,1808,24.1066666667,313,726,.431,32,118,.271,156,210,.743,98,1.30666666667,199,2.65333333333,297,3.96,252,3.36,81,1.08,33,0.44,167,2.22666666667,122,814,10.8533333333,
Toni Kukoc,CHI,1994-1995, 6-10,SF,26,81,2584,31.9012345679,487,967,.504,62,198,.313,235,314,.748,155,1.91358024691,285,3.51851851852,440,5.43209876543,372,4.59259259259,102,1.25925925926,16,0.197530864198,165,2.03703703704,163,1271,15.6913580247,
Toni Kukoc,CHI,1995-1996, 6-10,SF,27,81,2103,25.962962963,386,787,.490,87,216,.403,206,267,.772,115,1.41975308642,208,2.56790123457,323,3.98765432099,287,3.54320987654,64,0.79012345679,28,0.345679012346,114,1.40740740741,150,1065,13.1481481481,
Toni Kukoc,CHI,1996-1997, 6-10,SF,28,57,1610,28.2456140351,285,605,.471,50,151,.331,134,174,.770,94,1.64912280702,167,2.9298245614,261,4.57894736842,256,4.49122807018,60,1.05263157895,29,0.508771929825,91,1.59649122807,97,754,13.2280701754,
Toni Kukoc,CHI,1997-1998, 6-10,SF,29,74,2235,30.2027027027,383,841,.455,63,174,.362,155,219,.708,121,1.63513513514,206,2.78378378378,327,4.41891891892,314,4.24324324324,76,1.02702702703,37,0.5,154,2.08108108108,149,984,13.2972972973,
Toni Kukoc,CHI,1998-1999, 6-10,SF,30,44,1654,37.5909090909,315,750,.420,39,137,.285,159,215,.740,65,1.47727272727,245,5.56818181818,310,7.04545454545,235,5.34090909091,49,1.11363636364,11,0.25,121,2.75,82,828,18.8181818182,
Toni Kukoc,TOT,1999-2000, 6-10,SF,31,56,1784,31.8571428571,297,728,.408,44,168,.262,192,265,.725,75,1.33928571429,198,3.53571428571,273,4.875,265,4.73214285714,77,1.375,28,0.5,146,2.60714285714,112,830,14.8214285714,
Toni Kukoc,CHI,1999-2000, 6-10,SF,31,24,868,36.1666666667,148,388,.381,18,78,.231,118,155,.761,37,1.54166666667,93,3.875,130,5.41666666667,124,5.16666666667,44,1.83333333333,19,0.791666666667,75,3.125,51,432,18.0,
Toni Kukoc,PHI,1999-2000, 6-10,SF,31,32,916,28.625,149,340,.438,26,90,.289,74,110,.673,38,1.1875,105,3.28125,143,4.46875,141,4.40625,33,1.03125,9,0.28125,71,2.21875,61,398,12.4375,
Toni Kukoc,TOT,2000-2001, 6-10,SF,32,65,1597,24.5692307692,275,582,.473,70,157,.446,101,160,.631,66,1.01538461538,193,2.96923076923,259,3.98461538462,199,3.06153846154,48,0.738461538462,11,0.169230769231,111,1.70769230769,98,721,11.0923076923,
Toni Kukoc,PHI,2000-2001, 6-10,SF,32,48,979,20.3958333333,151,330,.458,32,78,.410,52,88,.591,47,0.979166666667,115,2.39583333333,162,3.375,93,1.9375,35,0.729166666667,6,0.125,60,1.25,62,386,8.04166666667,
Toni Kukoc,ATL,2000-2001, 6-10,SF,32,17,618,36.3529411765,124,252,.492,38,79,.481,49,72,.681,19,1.11764705882,78,4.58823529412,97,5.70588235294,106,6.23529411765,13,0.764705882353,5,0.294117647059,51,3.0,36,335,19.7058823529,
Toni Kukoc,ATL,2001-2002, 6-10,SF,33,59,1494,25.3220338983,211,504,.419,53,171,.310,109,153,.712,43,0.728813559322,175,2.96610169492,218,3.69491525424,210,3.5593220339,48,0.813559322034,17,0.28813559322,113,1.91525423729,91,584,9.89830508475,
Toni Kukoc,MIL,2002-2003, 6-10,PF,34,63,1704,27.0476190476,249,577,.432,95,263,.361,137,194,.706,67,1.06349206349,199,3.15873015873,266,4.22222222222,230,3.65079365079,81,1.28571428571,29,0.460317460317,122,1.93650793651,134,730,11.5873015873,
Toni Kukoc,MIL,2003-2004, 6-10,PF,35,73,1522,20.8493150685,211,506,.417,49,168,.292,145,199,.729,60,0.821917808219,211,2.8904109589,271,3.71232876712,200,2.7397260274,59,0.808219178082,21,0.287671232877,110,1.50684931507,110,616,8.43835616438,
Toni Kukoc,MIL,2004-2005, 6-10,SF,36,53,1099,20.7358490566,105,256,.410,42,116,.362,44,61,.721,31,0.584905660377,129,2.43396226415,160,3.01886792453,160,3.01886792453,39,0.735849056604,13,0.245283018868,64,1.20754716981,70,296,5.58490566038,
Toni Kukoc,MIL,2005-2006, 6-10,PF,37,65,1018,15.6615384615,116,298,.389,45,147,.306,40,56,.714,26,0.4,124,1.90769230769,150,2.30769230769,139,2.13846153846,33,0.507692307692,17,0.261538461538,66,1.01538461538,87,317,4.87692307692,
