Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Tony Battie,DEN,1997-1998, 6-11,PF,21,65,1506,23.1692307692,234,525,.446,3,14,.214,73,104,.702,138,2.12307692308,213,3.27692307692,351,5.4,60,0.923076923077,54,0.830769230769,69,1.06153846154,98,1.50769230769,199,544,8.36923076923,
Tony Battie,BOS,1998-1999, 6-11,C,22,50,1121,22.42,147,283,.519,0,3,.000,41,61,.672,96,1.92,204,4.08,300,6.0,53,1.06,29,0.58,71,1.42,45,0.9,159,335,6.7,
Tony Battie,BOS,1999-2000, 6-11,C,23,82,1505,18.3536585366,219,459,.477,1,8,.125,102,151,.675,152,1.85365853659,258,3.14634146341,410,5.0,63,0.768292682927,47,0.573170731707,70,0.853658536585,67,0.817073170732,249,541,6.59756097561,
Tony Battie,BOS,2000-2001, 6-11,C,24,40,845,21.125,108,201,.537,0,3,.000,44,69,.638,73,1.825,160,4.0,233,5.825,16,0.4,27,0.675,60,1.5,37,0.925,126,260,6.5,
Tony Battie,BOS,2001-2002, 6-11,C,25,74,1819,24.5810810811,211,390,.541,0,2,.000,88,130,.677,184,2.48648648649,297,4.01351351351,481,6.5,35,0.472972972973,60,0.810810810811,67,0.905405405405,51,0.689189189189,219,510,6.89189189189,
Tony Battie,BOS,2002-2003, 6-11,C,26,67,1683,25.1194029851,199,369,.539,1,5,.200,88,118,.746,148,2.20895522388,285,4.25373134328,433,6.46268656716,49,0.731343283582,33,0.492537313433,81,1.20895522388,48,0.716417910448,197,487,7.26865671642,
Tony Battie,TOT,2003-2004, 6-11,C,27,73,1478,20.2465753425,170,384,.443,2,9,.222,66,89,.742,118,1.61643835616,241,3.30136986301,359,4.91780821918,58,0.794520547945,26,0.356164383562,67,0.917808219178,63,0.86301369863,159,408,5.58904109589,
Tony Battie,BOS,2003-2004, 6-11,C,27,23,501,21.7826086957,56,117,.479,1,1,1.000,23,33,.697,39,1.69565217391,79,3.4347826087,118,5.13043478261,21,0.913043478261,8,0.347826086957,20,0.869565217391,24,1.04347826087,55,136,5.91304347826,
Tony Battie,CLE,2003-2004, 6-11,C,27,50,977,19.54,114,267,.427,1,8,.125,43,56,.768,79,1.58,162,3.24,241,4.82,37,0.74,18,0.36,47,0.94,39,0.78,104,272,5.44,
Tony Battie,ORL,2004-2005, 6-11,C,28,81,1894,23.3827160494,163,354,.460,0,6,.000,68,94,.723,109,1.34567901235,343,4.23456790123,452,5.58024691358,42,0.518518518519,30,0.37037037037,81,1.0,81,1.0,244,394,4.86419753086,
Tony Battie,ORL,2005-2006, 6-11,C,29,82,2215,27.012195122,280,552,.507,0,6,.000,89,134,.664,145,1.76829268293,312,3.80487804878,457,5.57317073171,49,0.59756097561,46,0.560975609756,69,0.841463414634,88,1.07317073171,250,649,7.91463414634,
Tony Battie,ORL,2006-2007, 6-11,PF,30,66,1575,23.8636363636,176,360,.489,0,1,.000,52,77,.675,92,1.39393939394,252,3.81818181818,344,5.21212121212,35,0.530303030303,29,0.439393939394,30,0.454545454545,61,0.924242424242,185,404,6.12121212121,
Tony Battie,ORL,2008-2009, 6-11,PF,32,77,1202,15.6103896104,158,323,.489,2,9,.222,54,82,.659,92,1.19480519481,186,2.41558441558,278,3.61038961039,31,0.402597402597,26,0.337662337662,25,0.324675324675,46,0.597402597403,112,372,4.83116883117,
Tony Battie,NJN,2009-2010, 6-11,C,33,15,134,8.93333333333,14,40,.350,1,4,.250,7,10,.700,4,0.266666666667,19,1.26666666667,23,1.53333333333,3,0.2,4,0.266666666667,2,0.133333333333,3,0.2,19,36,2.4,
Tony Battie,PHI,2010-2011, 6-11,C,34,38,377,9.92105263158,45,96,.469,2,3,.667,8,14,.571,17,0.447368421053,82,2.15789473684,99,2.60526315789,12,0.315789473684,5,0.131578947368,15,0.394736842105,12,0.315789473684,59,100,2.63157894737,
Tony Battie,PHI,2011-2012, 6-11,C,35,27,295,10.9259259259,19,51,.373,0,1,.000,4,4,1.000,8,0.296296296296,59,2.18518518519,67,2.48148148148,16,0.592592592593,4,0.148148148148,6,0.222222222222,4,0.148148148148,26,42,1.55555555556,
