Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Tony Massenburg,SAS,1990-1991, 6-9,PF,23,35,161,4.6,27,60,.450,0,0,.000,28,45,.622,23,0.657142857143,35,1.0,58,1.65714285714,4,0.114285714286,4,0.114285714286,9,0.257142857143,13,0.371428571429,26,82,2.34285714286,
Tony Massenburg,TOT,1991-1992, 6-9,PF,24,18,90,5.0,10,25,.400,0,0,.000,9,15,.600,7,0.388888888889,18,1.0,25,1.38888888889,0,0.0,1,0.0555555555556,1,0.0555555555556,9,0.5,21,29,1.61111111111,
Tony Massenburg,SAS,1991-1992, 6-9,PF,24,1,9,9.0,1,5,.200,0,0,.000,0,0,.000,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2,2.0,
Tony Massenburg,CHH,1991-1992, 6-9,PF,24,3,13,4.33333333333,0,3,.000,0,0,.000,1,2,.500,1,0.333333333333,3,1.0,4,1.33333333333,0,0.0,1,0.333333333333,0,0.0,4,1.33333333333,2,1,0.333333333333,
Tony Massenburg,BOS,1991-1992, 6-9,PF,24,7,46,6.57142857143,4,9,.444,0,0,.000,2,4,.500,2,0.285714285714,7,1.0,9,1.28571428571,0,0.0,0,0.0,1,0.142857142857,2,0.285714285714,7,10,1.42857142857,
Tony Massenburg,GSW,1991-1992, 6-9,PF,24,7,22,3.14285714286,5,8,.625,0,0,.000,6,9,.667,4,0.571428571429,8,1.14285714286,12,1.71428571429,0,0.0,0,0.0,0,0.0,3,0.428571428571,10,16,2.28571428571,
Tony Massenburg,LAC,1994-1995, 6-9,C,27,80,2127,26.5875,282,601,.469,0,3,.000,177,235,.753,160,2.0,295,3.6875,455,5.6875,67,0.8375,48,0.6,58,0.725,118,1.475,253,741,9.2625,
Tony Massenburg,TOT,1995-1996, 6-9,PF,28,54,1463,27.0925925926,214,432,.495,0,3,.000,111,157,.707,127,2.35185185185,225,4.16666666667,352,6.51851851852,30,0.555555555556,28,0.518518518519,20,0.37037037037,73,1.35185185185,140,539,9.98148148148,
Tony Massenburg,TOR,1995-1996, 6-9,PF,28,24,659,27.4583333333,100,196,.510,0,0,.000,43,65,.662,52,2.16666666667,114,4.75,166,6.91666666667,18,0.75,13,0.541666666667,9,0.375,35,1.45833333333,67,243,10.125,
Tony Massenburg,PHI,1995-1996, 6-9,PF,28,30,804,26.8,114,236,.483,0,3,.000,68,92,.739,75,2.5,111,3.7,186,6.2,12,0.4,15,0.5,11,0.366666666667,38,1.26666666667,73,296,9.86666666667,
Tony Massenburg,NJN,1996-1997, 6-9,PF,29,79,1954,24.7341772152,219,452,.485,0,1,.000,130,206,.631,222,2.81012658228,295,3.73417721519,517,6.54430379747,23,0.291139240506,38,0.481012658228,50,0.632911392405,91,1.15189873418,217,568,7.18987341772,
Tony Massenburg,VAN,1997-1998, 6-9,C,30,61,894,14.6557377049,148,309,.479,0,0,.000,100,137,.730,80,1.31147540984,152,2.49180327869,232,3.80327868852,21,0.344262295082,25,0.409836065574,24,0.393442622951,60,0.983606557377,123,396,6.49180327869,
Tony Massenburg,VAN,1998-1999, 6-9,PF,31,43,1143,26.5813953488,189,388,.487,0,2,.000,103,155,.665,83,1.93023255814,174,4.04651162791,257,5.97674418605,23,0.53488372093,26,0.604651162791,39,0.906976744186,64,1.48837209302,108,481,11.1860465116,
Tony Massenburg,HOU,1999-2000, 6-9,PF,32,10,109,10.9,16,36,.444,0,0,.000,14,16,.875,7,0.7,20,2.0,27,2.7,3,0.3,2,0.2,5,0.5,9,0.9,13,46,4.6,
Tony Massenburg,VAN,2000-2001, 6-9,PF,33,52,823,15.8269230769,92,199,.462,0,0,.000,49,70,.700,75,1.44230769231,135,2.59615384615,210,4.03846153846,9,0.173076923077,10,0.192307692308,28,0.538461538462,48,0.923076923077,122,233,4.48076923077,
Tony Massenburg,MEM,2001-2002, 6-9,PF,34,73,1247,17.0821917808,159,349,.456,1,1,1.000,84,117,.718,100,1.3698630137,224,3.06849315068,324,4.43835616438,26,0.356164383562,30,0.41095890411,31,0.424657534247,65,0.890410958904,174,403,5.52054794521,
Tony Massenburg,UTA,2002-2003, 6-9,C,35,58,792,13.6551724138,104,232,.448,0,0,.000,65,84,.774,59,1.01724137931,97,1.6724137931,156,2.68965517241,17,0.293103448276,17,0.293103448276,19,0.327586206897,50,0.862068965517,144,273,4.70689655172,
Tony Massenburg,SAC,2003-2004, 6-9,PF,36,59,789,13.3728813559,104,219,.475,0,1,.000,43,63,.683,57,0.966101694915,131,2.22033898305,188,3.18644067797,29,0.491525423729,14,0.237288135593,18,0.305084745763,45,0.762711864407,144,251,4.25423728814,
Tony Massenburg,SAS,2004-2005, 6-9,PF,37,61,699,11.4590163934,74,182,.407,0,0,.000,48,63,.762,54,0.885245901639,109,1.7868852459,163,2.67213114754,14,0.229508196721,18,0.295081967213,20,0.327868852459,40,0.655737704918,122,196,3.2131147541,
