Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Tony Smith,LAL,1990-1991, 6-3,SG,22,64,695,10.859375,97,220,.441,0,7,.000,40,57,.702,24,0.375,47,0.734375,71,1.109375,135,2.109375,28,0.4375,12,0.1875,69,1.078125,80,234,3.65625,
Tony Smith,LAL,1991-1992, 6-3,PG,23,63,820,13.0158730159,113,283,.399,0,11,.000,49,75,.653,31,0.492063492063,45,0.714285714286,76,1.20634920635,109,1.73015873016,39,0.619047619048,8,0.126984126984,50,0.793650793651,91,275,4.36507936508,
Tony Smith,LAL,1992-1993, 6-3,SG,24,55,752,13.6727272727,133,275,.484,2,11,.182,62,82,.756,46,0.836363636364,41,0.745454545455,87,1.58181818182,63,1.14545454545,50,0.909090909091,7,0.127272727273,40,0.727272727273,72,330,6.0,
Tony Smith,LAL,1993-1994, 6-3,SG,25,73,1617,22.1506849315,272,617,.441,16,50,.320,85,119,.714,106,1.45205479452,89,1.21917808219,195,2.67123287671,148,2.02739726027,59,0.808219178082,14,0.191780821918,76,1.04109589041,128,645,8.83561643836,
Tony Smith,LAL,1994-1995, 6-3,SG,26,61,1024,16.7868852459,132,309,.427,32,91,.352,44,63,.698,43,0.704918032787,64,1.04918032787,107,1.75409836066,102,1.67213114754,46,0.754098360656,7,0.114754098361,50,0.819672131148,111,340,5.5737704918,
Tony Smith,TOT,1995-1996, 6-3,SG,27,59,938,15.8983050847,116,274,.423,38,116,.328,28,46,.609,30,0.508474576271,65,1.10169491525,95,1.61016949153,154,2.61016949153,37,0.627118644068,10,0.169491525424,66,1.1186440678,106,298,5.05084745763,
Tony Smith,PHO,1995-1996, 6-3,SG,27,34,528,15.5294117647,70,173,.405,25,77,.325,24,37,.649,24,0.705882352941,32,0.941176470588,56,1.64705882353,86,2.52941176471,21,0.617647058824,5,0.147058823529,40,1.17647058824,60,189,5.55882352941,
Tony Smith,MIA,1995-1996, 6-3,SG,27,25,410,16.4,46,101,.455,13,39,.333,4,9,.444,6,0.24,33,1.32,39,1.56,68,2.72,16,0.64,5,0.2,26,1.04,46,109,4.36,
Tony Smith,CHH,1996-1997, 6-3,PG,28,69,1291,18.7101449275,138,337,.409,32,99,.323,38,59,.644,38,0.550724637681,56,0.811594202899,94,1.36231884058,150,2.17391304348,48,0.695652173913,19,0.275362318841,73,1.05797101449,110,346,5.01449275362,
Tony Smith,MIL,1997-1998, 6-3,PG,29,7,80,11.4285714286,8,24,.333,0,4,.000,3,4,.750,4,0.571428571429,3,0.428571428571,7,1.0,10,1.42857142857,5,0.714285714286,2,0.285714285714,9,1.28571428571,7,19,2.71428571429,
Tony Smith,ATL,2000-2001, 6-3,SG,32,6,78,13.0,8,23,.348,0,2,.000,1,2,.500,2,0.333333333333,1,0.166666666667,3,0.5,10,1.66666666667,7,1.16666666667,0,0.0,9,1.5,12,17,2.83333333333,
