Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Tracy McGrady,TOR,1997-1998, 6-8,SF,18,64,1179,18.421875,179,398,.450,14,41,.341,79,111,.712,105,1.640625,164,2.5625,269,4.203125,98,1.53125,49,0.765625,61,0.953125,66,1.03125,86,451,7.046875,
Tracy McGrady,TOR,1998-1999, 6-8,SF,19,49,1106,22.5714285714,168,385,.436,8,35,.229,114,157,.726,120,2.44897959184,158,3.22448979592,278,5.67346938776,113,2.30612244898,52,1.0612244898,66,1.34693877551,80,1.63265306122,94,458,9.34693877551,
Tracy McGrady,TOR,1999-2000, 6-8,SF,20,79,2462,31.164556962,459,1018,.451,18,65,.277,277,392,.707,188,2.37974683544,313,3.96202531646,501,6.3417721519,263,3.32911392405,90,1.13924050633,151,1.91139240506,160,2.0253164557,201,1213,15.3544303797,
Tracy McGrady,ORL,2000-2001, 6-8,SG,21,77,3087,40.0909090909,788,1724,.457,59,166,.355,430,587,.733,192,2.49350649351,388,5.03896103896,580,7.53246753247,352,4.57142857143,116,1.50649350649,118,1.53246753247,198,2.57142857143,160,2065,26.8181818182,
Tracy McGrady,ORL,2001-2002, 6-8,SG,22,76,2912,38.3157894737,715,1586,.451,103,283,.364,415,555,.748,150,1.97368421053,447,5.88157894737,597,7.85526315789,400,5.26315789474,119,1.56578947368,73,0.960526315789,189,2.48684210526,139,1948,25.6315789474,
Tracy McGrady,ORL,2002-2003, 6-8,SG,23,75,2954,39.3866666667,829,1813,.457,173,448,.386,576,726,.793,121,1.61333333333,367,4.89333333333,488,6.50666666667,411,5.48,124,1.65333333333,59,0.786666666667,195,2.6,156,2407,32.0933333333,
Tracy McGrady,ORL,2003-2004, 6-8,SG,24,67,2675,39.9253731343,653,1566,.417,174,513,.339,398,500,.796,95,1.41791044776,307,4.58208955224,402,6.0,370,5.5223880597,93,1.38805970149,42,0.626865671642,179,2.67164179104,129,1878,28.0298507463,
Tracy McGrady,HOU,2004-2005, 6-8,SF,25,78,3182,40.7948717949,715,1660,.431,142,435,.326,431,557,.774,71,0.910256410256,413,5.29487179487,484,6.20512820513,448,5.74358974359,135,1.73076923077,52,0.666666666667,201,2.57692307692,167,2003,25.6794871795,
Tracy McGrady,HOU,2005-2006, 6-8,SF,26,47,1745,37.1276595745,410,1011,.406,73,234,.312,254,340,.747,46,0.978723404255,261,5.55319148936,307,6.53191489362,225,4.78723404255,59,1.25531914894,41,0.872340425532,120,2.55319148936,88,1147,24.4042553191,
Tracy McGrady,HOU,2006-2007, 6-8,SG,27,71,2539,35.7605633803,638,1480,.431,126,381,.331,345,488,.707,56,0.788732394366,322,4.53521126761,378,5.32394366197,458,6.45070422535,92,1.29577464789,36,0.507042253521,213,3.0,136,1747,24.6056338028,
Tracy McGrady,HOU,2007-2008, 6-8,SG,28,66,2440,36.9696969697,548,1307,.419,86,295,.292,245,358,.684,42,0.636363636364,297,4.5,339,5.13636363636,387,5.86363636364,68,1.0303030303,30,0.454545454545,160,2.42424242424,91,1427,21.6212121212,
Tracy McGrady,HOU,2008-2009, 6-8,SG,29,35,1181,33.7428571429,188,485,.388,44,117,.376,125,156,.801,20,0.571428571429,134,3.82857142857,154,4.4,175,5.0,42,1.2,15,0.428571428571,69,1.97142857143,38,545,15.5714285714,
Tracy McGrady,TOT,2009-2010, 6-8,SG,30,30,673,22.4333333333,91,235,.387,16,64,.250,47,63,.746,22,0.733333333333,72,2.4,94,3.13333333333,99,3.3,15,0.5,14,0.466666666667,44,1.46666666667,40,245,8.16666666667,
Tracy McGrady,HOU,2009-2010, 6-8,SG,30,6,46,7.66666666667,7,19,.368,1,2,.500,4,6,.667,0,0.0,5,0.833333333333,5,0.833333333333,6,1.0,0,0.0,2,0.333333333333,1,0.166666666667,2,19,3.16666666667,
Tracy McGrady,NYK,2009-2010, 6-8,SG,30,24,627,26.125,84,216,.389,15,62,.242,43,57,.754,22,0.916666666667,67,2.79166666667,89,3.70833333333,93,3.875,15,0.625,12,0.5,43,1.79166666667,38,226,9.41666666667,
Tracy McGrady,DET,2010-2011, 6-8,SG,31,72,1686,23.4166666667,227,514,.442,30,88,.341,90,129,.698,49,0.680555555556,202,2.80555555556,251,3.48611111111,252,3.5,66,0.916666666667,34,0.472222222222,102,1.41666666667,101,574,7.97222222222,
Tracy McGrady,ATL,2011-2012, 6-8,SF,32,52,837,16.0961538462,101,231,.437,15,33,.455,56,83,.675,23,0.442307692308,131,2.51923076923,154,2.96153846154,110,2.11538461538,16,0.307692307692,15,0.288461538462,53,1.01923076923,35,273,5.25,
