Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Travis Outlaw,POR,2003-2004, 6-9,PF,19,8,19,2.375,3,7,.429,0,0,.000,2,4,.500,2,0.25,2,0.25,4,0.5,1,0.125,1,0.125,0,0.0,1,0.125,1,8,1.0,
Travis Outlaw,POR,2004-2005, 6-9,SF,20,59,793,13.4406779661,133,267,.498,4,10,.400,49,75,.653,40,0.677966101695,81,1.37288135593,121,2.05084745763,35,0.593220338983,30,0.508474576271,40,0.677966101695,39,0.661016949153,77,319,5.40677966102,
Travis Outlaw,POR,2005-2006, 6-9,PF,21,69,1153,16.7101449275,162,368,.440,14,53,.264,62,89,.697,48,0.695652173913,141,2.04347826087,189,2.73913043478,34,0.492753623188,31,0.449275362319,46,0.666666666667,37,0.536231884058,112,400,5.79710144928,
Travis Outlaw,POR,2006-2007, 6-9,PF,22,67,1532,22.8656716418,246,567,.434,10,37,.270,143,181,.790,65,0.970149253731,152,2.26865671642,217,3.23880597015,52,0.776119402985,61,0.910447761194,74,1.10447761194,66,0.985074626866,150,645,9.62686567164,
Travis Outlaw,POR,2007-2008, 6-9,PF,23,82,2186,26.6585365854,417,964,.433,40,101,.396,218,294,.741,96,1.17073170732,280,3.41463414634,376,4.58536585366,106,1.29268292683,59,0.719512195122,63,0.768292682927,107,1.30487804878,173,1092,13.3170731707,
Travis Outlaw,POR,2008-2009, 6-9,SF,24,81,2246,27.7283950617,385,850,.453,89,236,.377,175,242,.723,70,0.864197530864,261,3.22222222222,331,4.08641975309,83,1.02469135802,47,0.58024691358,57,0.703703703704,94,1.16049382716,168,1034,12.7654320988,
Travis Outlaw,TOT,2009-2010, 6-9,SF,25,34,730,21.4705882353,110,281,.391,40,105,.381,49,59,.831,33,0.970588235294,88,2.58823529412,121,3.55882352941,34,1.0,18,0.529411764706,17,0.5,32,0.941176470588,43,309,9.08823529412,
Travis Outlaw,POR,2009-2010, 6-9,SF,25,11,231,21.0,38,101,.376,12,31,.387,21,24,.875,13,1.18181818182,25,2.27272727273,38,3.45454545455,8,0.727272727273,7,0.636363636364,8,0.727272727273,12,1.09090909091,13,109,9.90909090909,
Travis Outlaw,LAC,2009-2010, 6-9,SF,25,23,499,21.6956521739,72,180,.400,28,74,.378,28,35,.800,20,0.869565217391,63,2.73913043478,83,3.60869565217,26,1.13043478261,11,0.478260869565,9,0.391304347826,20,0.869565217391,30,200,8.69565217391,
Travis Outlaw,NJN,2010-2011, 6-9,SF,26,82,2358,28.756097561,274,731,.375,76,252,.302,132,171,.772,54,0.658536585366,271,3.30487804878,325,3.96341463415,84,1.0243902439,34,0.414634146341,36,0.439024390244,71,0.865853658537,148,756,9.21951219512,
Travis Outlaw,SAC,2011-2012, 6-9,SF,27,39,500,12.8205128205,60,175,.343,16,60,.267,31,46,.674,19,0.487179487179,42,1.07692307692,61,1.5641025641,16,0.410256410256,19,0.487179487179,21,0.538461538462,20,0.512820512821,34,167,4.28205128205,
Travis Outlaw,SAC,2012-2013, 6-9,SF,28,29,320,11.0344827586,47,126,.373,11,39,.282,20,27,.741,15,0.51724137931,35,1.20689655172,50,1.72413793103,11,0.379310344828,9,0.310344827586,4,0.137931034483,12,0.413793103448,27,125,4.31034482759,
