Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Trenton Hassell,CHI,2001-2002, 6-5,SG,22,78,2237,28.6794871795,267,628,.425,60,165,.364,87,114,.763,65,0.833333333333,190,2.4358974359,255,3.26923076923,172,2.20512820513,55,0.705128205128,44,0.564102564103,101,1.29487179487,184,681,8.73076923077,
Trenton Hassell,CHI,2002-2003, 6-5,SG,23,82,1999,24.3780487805,144,392,.367,13,40,.325,41,55,.745,37,0.451219512195,218,2.65853658537,255,3.10975609756,151,1.84146341463,45,0.548780487805,61,0.743902439024,83,1.01219512195,197,342,4.17073170732,
Trenton Hassell,MIN,2003-2004, 6-5,SG,24,81,2264,27.950617284,177,381,.465,4,13,.308,48,61,.787,68,0.83950617284,189,2.33333333333,257,3.17283950617,133,1.64197530864,36,0.444444444444,54,0.666666666667,46,0.567901234568,200,406,5.01234567901,
Trenton Hassell,MIN,2004-2005, 6-5,SG,25,82,2068,25.2195121951,225,475,.474,1,11,.091,90,114,.789,80,0.975609756098,139,1.69512195122,219,2.67073170732,128,1.56097560976,30,0.365853658537,30,0.365853658537,64,0.780487804878,200,541,6.59756097561,
Trenton Hassell,MIN,2005-2006, 6-5,SG,26,77,2514,32.6493506494,286,616,.464,7,23,.304,131,176,.744,82,1.06493506494,134,1.74025974026,216,2.80519480519,203,2.63636363636,43,0.558441558442,29,0.376623376623,124,1.61038961039,201,710,9.22077922078,
Trenton Hassell,MIN,2006-2007, 6-5,SG,27,76,2223,29.25,217,443,.490,6,25,.240,72,92,.783,83,1.09210526316,160,2.10526315789,243,3.19736842105,203,2.67105263158,22,0.289473684211,26,0.342105263158,80,1.05263157895,144,512,6.73684210526,
Trenton Hassell,TOT,2007-2008, 6-5,SG,28,63,773,12.2698412698,57,135,.422,2,9,.222,7,10,.700,20,0.31746031746,63,1.0,83,1.31746031746,41,0.650793650794,13,0.206349206349,3,0.047619047619,22,0.349206349206,90,123,1.95238095238,
Trenton Hassell,DAL,2007-2008, 6-5,SG,28,37,463,12.5135135135,37,80,.463,1,4,.250,1,2,.500,11,0.297297297297,33,0.891891891892,44,1.18918918919,26,0.702702702703,9,0.243243243243,1,0.027027027027,14,0.378378378378,55,76,2.05405405405,
Trenton Hassell,NJN,2007-2008, 6-5,SG,28,26,310,11.9230769231,20,55,.364,1,5,.200,6,8,.750,9,0.346153846154,30,1.15384615385,39,1.5,15,0.576923076923,4,0.153846153846,2,0.0769230769231,8,0.307692307692,35,47,1.80769230769,
Trenton Hassell,NJN,2008-2009, 6-5,SF,29,53,1094,20.641509434,86,191,.450,2,8,.250,20,25,.800,50,0.943396226415,96,1.81132075472,146,2.75471698113,51,0.962264150943,21,0.396226415094,16,0.301886792453,30,0.566037735849,92,194,3.66037735849,
Trenton Hassell,NJN,2009-2010, 6-5,SF,30,52,1106,21.2692307692,90,219,.411,0,5,.000,52,69,.754,56,1.07692307692,96,1.84615384615,152,2.92307692308,50,0.961538461538,17,0.326923076923,9,0.173076923077,47,0.903846153846,91,232,4.46153846154,
