Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Trevor Ariza,NYK,2004-2005, 6-8,SF,19,80,1382,17.275,172,389,.442,3,13,.231,121,174,.695,89,1.1125,153,1.9125,242,3.025,85,1.0625,70,0.875,18,0.225,73,0.9125,150,468,5.85,
Trevor Ariza,TOT,2005-2006, 6-8,SF,20,57,999,17.5263157895,93,226,.412,1,5,.200,77,127,.606,78,1.36842105263,140,2.45614035088,218,3.82456140351,61,1.0701754386,57,1.0,11,0.19298245614,62,1.08771929825,100,264,4.63157894737,
Trevor Ariza,NYK,2005-2006, 6-8,SF,20,36,709,19.6944444444,61,146,.418,1,3,.333,42,77,.545,49,1.36111111111,88,2.44444444444,137,3.80555555556,46,1.27777777778,43,1.19444444444,9,0.25,46,1.27777777778,78,165,4.58333333333,
Trevor Ariza,ORL,2005-2006, 6-8,SF,20,21,290,13.8095238095,32,80,.400,0,2,.000,35,50,.700,29,1.38095238095,52,2.47619047619,81,3.85714285714,15,0.714285714286,14,0.666666666667,2,0.0952380952381,16,0.761904761905,22,99,4.71428571429,
Trevor Ariza,ORL,2006-2007, 6-8,SG,21,57,1278,22.4210526316,200,371,.539,0,7,.000,106,171,.620,98,1.71929824561,151,2.64912280702,249,4.36842105263,65,1.14035087719,59,1.0350877193,19,0.333333333333,84,1.47368421053,134,506,8.87719298246,
Trevor Ariza,TOT,2007-2008, 6-8,SF,22,35,546,15.6,69,136,.507,5,18,.278,49,75,.653,30,0.857142857143,78,2.22857142857,108,3.08571428571,44,1.25714285714,31,0.885714285714,11,0.314285714286,23,0.657142857143,45,192,5.48571428571,
Trevor Ariza,ORL,2007-2008, 6-8,SF,22,11,115,10.4545454545,14,31,.452,0,3,.000,8,15,.533,5,0.454545454545,19,1.72727272727,24,2.18181818182,8,0.727272727273,5,0.454545454545,3,0.272727272727,5,0.454545454545,9,36,3.27272727273,
Trevor Ariza,LAL,2007-2008, 6-8,SF,22,24,431,17.9583333333,55,105,.524,5,15,.333,41,60,.683,25,1.04166666667,59,2.45833333333,84,3.5,36,1.5,26,1.08333333333,8,0.333333333333,18,0.75,36,156,6.5,
Trevor Ariza,LAL,2008-2009, 6-8,SF,23,82,1999,24.3780487805,274,596,.460,61,191,.319,120,169,.710,111,1.35365853659,241,2.93902439024,352,4.29268292683,145,1.76829268293,137,1.67073170732,24,0.292682926829,87,1.06097560976,166,729,8.89024390244,
Trevor Ariza,HOU,2009-2010, 6-8,SF,24,72,2629,36.5138888889,394,999,.394,136,407,.334,148,228,.649,78,1.08333333333,325,4.51388888889,403,5.59722222222,276,3.83333333333,126,1.75,40,0.555555555556,161,2.23611111111,162,1072,14.8888888889,
Trevor Ariza,NOH,2010-2011, 6-8,SF,25,75,2600,34.6666666667,303,762,.398,82,271,.303,138,197,.701,61,0.813333333333,347,4.62666666667,408,5.44,162,2.16,120,1.6,31,0.413333333333,118,1.57333333333,180,826,11.0133333333,
Trevor Ariza,NOH,2011-2012, 6-8,SF,26,41,1350,32.9268292683,168,403,.417,29,87,.333,79,102,.775,41,1.0,174,4.24390243902,215,5.24390243902,135,3.29268292683,69,1.68292682927,25,0.609756097561,76,1.85365853659,73,444,10.8292682927,
Trevor Ariza,WAS,2012-2013, 6-8,SF,27,46,1185,25.7608695652,150,365,.411,55,157,.350,73,87,.839,38,0.826086956522,170,3.69565217391,208,4.52173913043,92,2.0,61,1.32608695652,18,0.391304347826,71,1.54347826087,61,428,9.30434782609,
