Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Troy Murphy,GSW,2001-2002, 6-11,PF,21,82,1448,17.6585365854,178,423,.421,3,9,.333,121,156,.776,99,1.20731707317,223,2.71951219512,322,3.92682926829,70,0.853658536585,36,0.439024390244,21,0.256097560976,84,1.0243902439,217,480,5.85365853659,
Troy Murphy,GSW,2002-2003, 6-11,PF,22,79,2510,31.7721518987,338,749,.451,3,14,.214,244,290,.841,228,2.88607594937,578,7.3164556962,806,10.2025316456,106,1.3417721519,65,0.822784810127,30,0.379746835443,111,1.40506329114,246,923,11.6835443038,
Troy Murphy,GSW,2003-2004, 6-11,PF,23,28,610,21.7857142857,107,243,.440,5,17,.294,60,80,.750,48,1.71428571429,125,4.46428571429,173,6.17857142857,20,0.714285714286,12,0.428571428571,17,0.607142857143,34,1.21428571429,58,279,9.96428571429,
Troy Murphy,GSW,2004-2005, 6-11,PF,24,70,2375,33.9285714286,392,947,.414,59,148,.399,233,319,.730,251,3.58571428571,505,7.21428571429,756,10.8,97,1.38571428571,53,0.757142857143,33,0.471428571429,108,1.54285714286,190,1076,15.3714285714,
Troy Murphy,GSW,2005-2006, 6-11,PF,25,74,2516,34.0,363,838,.433,58,181,.320,251,319,.787,195,2.63513513514,548,7.40540540541,743,10.0405405405,101,1.36486486486,47,0.635135135135,26,0.351351351351,108,1.45945945946,191,1035,13.9864864865,
Troy Murphy,TOT,2006-2007, 6-11,PF,26,68,1852,27.2352941176,266,581,.458,58,147,.395,108,145,.745,100,1.47058823529,314,4.61764705882,414,6.08823529412,126,1.85294117647,46,0.676470588235,42,0.617647058824,78,1.14705882353,196,698,10.2647058824,
Troy Murphy,GSW,2006-2007, 6-11,PF,26,26,667,25.6538461538,81,180,.450,22,59,.373,47,66,.712,37,1.42307692308,120,4.61538461538,157,6.03846153846,60,2.30769230769,21,0.807692307692,17,0.653846153846,29,1.11538461538,63,231,8.88461538462,
Troy Murphy,IND,2006-2007, 6-11,PF,26,42,1185,28.2142857143,185,401,.461,36,88,.409,61,79,.772,63,1.5,194,4.61904761905,257,6.11904761905,66,1.57142857143,25,0.595238095238,25,0.595238095238,49,1.16666666667,133,467,11.119047619,
Troy Murphy,IND,2007-2008, 6-11,PF,27,75,2106,28.08,315,693,.455,94,236,.398,192,241,.797,108,1.44,435,5.8,543,7.24,165,2.2,49,0.653333333333,32,0.426666666667,96,1.28,217,916,12.2133333333,
Troy Murphy,IND,2008-2009, 6-11,PF,28,73,2482,34.0,364,767,.475,161,358,.450,152,184,.826,146,2.0,715,9.79452054795,861,11.7945205479,172,2.35616438356,58,0.794520547945,34,0.465753424658,114,1.56164383562,226,1041,14.2602739726,
Troy Murphy,IND,2009-2010, 6-11,PF,29,72,2344,32.5555555556,384,813,.472,128,333,.384,154,193,.798,129,1.79166666667,608,8.44444444444,737,10.2361111111,150,2.08333333333,72,1.0,34,0.472222222222,100,1.38888888889,175,1050,14.5833333333,
Troy Murphy,TOT,2010-2011, 6-11,PF,30,35,466,13.3142857143,42,114,.368,5,33,.152,20,30,.667,22,0.628571428571,91,2.6,113,3.22857142857,23,0.657142857143,15,0.428571428571,3,0.0857142857143,20,0.571428571429,47,109,3.11428571429,
Troy Murphy,NJN,2010-2011, 6-11,PF,30,18,288,16.0,26,76,.342,4,23,.174,9,17,.529,11,0.611111111111,64,3.55555555556,75,4.16666666667,17,0.944444444444,7,0.388888888889,2,0.111111111111,13,0.722222222222,28,65,3.61111111111,
Troy Murphy,BOS,2010-2011, 6-11,PF,30,17,178,10.4705882353,16,38,.421,1,10,.100,11,13,.846,11,0.647058823529,27,1.58823529412,38,2.23529411765,6,0.352941176471,8,0.470588235294,1,0.0588235294118,7,0.411764705882,19,44,2.58823529412,
Troy Murphy,LAL,2011-2012, 6-11,PF,31,59,956,16.2033898305,77,171,.450,28,67,.418,6,9,.667,40,0.677966101695,151,2.5593220339,191,3.23728813559,51,0.864406779661,15,0.254237288136,16,0.271186440678,26,0.440677966102,98,188,3.18644067797,
Troy Murphy,DAL,2012-2013, 6-11,PF,32,14,256,18.2857142857,22,61,.361,11,35,.314,10,11,.909,7,0.5,42,3.0,49,3.5,7,0.5,10,0.714285714286,6,0.428571428571,7,0.5,29,65,4.64285714286,
