Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Truck Robinson,WSB,1974-1975, 6-7,PF,23,76,995,13.0921052632,191,393,.486,.000,.000,.000,60,115,.522,94,1.23684210526,207,2.72368421053,301,3.96052631579,40,0.526315789474,36,0.473684210526,32,0.421052631579,.000,0.0,132,442,5.81578947368,
Truck Robinson,WSB,1975-1976, 6-7,PF,24,82,2055,25.0609756098,354,779,.454,.000,.000,.000,211,314,.672,139,1.69512195122,418,5.09756097561,557,6.79268292683,113,1.37804878049,42,0.512195121951,107,1.30487804878,.000,0.0,239,919,11.2073170732,
Truck Robinson,TOT,1976-1977, 6-7,PF,25,77,2777,36.0649350649,574,1200,.478,.000,.000,.000,314,430,.730,252,3.27272727273,576,7.48051948052,828,10.7532467532,142,1.84415584416,66,0.857142857143,38,0.493506493506,.000,0.0,253,1462,18.987012987,
Truck Robinson,WSB,1976-1977, 6-7,PF,25,41,1328,32.3902439024,264,552,.478,.000,.000,.000,128,189,.677,119,2.90243902439,247,6.0243902439,366,8.92682926829,45,1.09756097561,28,0.682926829268,18,0.439024390244,.000,0.0,123,656,16.0,
Truck Robinson,ATL,1976-1977, 6-7,PF,25,36,1449,40.25,310,648,.478,.000,.000,.000,186,241,.772,133,3.69444444444,329,9.13888888889,462,12.8333333333,97,2.69444444444,38,1.05555555556,20,0.555555555556,.000,0.0,130,806,22.3888888889,
Truck Robinson,NOJ,1977-1978, 6-7,PF,26,82,3638,44.3658536585,748,1683,.444,.000,.000,.000,366,572,.640,298,3.63414634146,990,12.0731707317,1288,15.7073170732,171,2.08536585366,73,0.890243902439,79,0.963414634146,301,3.67073170732,265,1862,22.7073170732,
Truck Robinson,TOT,1978-1979, 6-7,PF,27,69,2537,36.768115942,566,1152,.491,.000,.000,.000,324,462,.701,195,2.82608695652,607,8.79710144928,802,11.6231884058,113,1.63768115942,46,0.666666666667,75,1.08695652174,233,3.3768115942,206,1456,21.1014492754,
Truck Robinson,NOJ,1978-1979, 6-7,PF,27,43,1781,41.4186046512,397,819,.485,.000,.000,.000,245,339,.723,139,3.23255813953,438,10.1860465116,577,13.4186046512,74,1.72093023256,29,0.674418604651,63,1.46511627907,143,3.32558139535,130,1039,24.1627906977,
Truck Robinson,PHO,1978-1979, 6-7,PF,27,26,756,29.0769230769,169,333,.508,.000,.000,.000,79,123,.642,56,2.15384615385,169,6.5,225,8.65384615385,39,1.5,17,0.653846153846,12,0.461538461538,90,3.46153846154,76,417,16.0384615385,
Truck Robinson,PHO,1979-1980, 6-7,PF,28,82,2710,33.0487804878,545,1064,.512,0,0,.000,325,487,.667,213,2.59756097561,557,6.79268292683,770,9.39024390244,142,1.73170731707,58,0.707317073171,59,0.719512195122,251,3.06097560976,262,1415,17.256097561,
Truck Robinson,PHO,1980-1981, 6-7,PF,29,82,3088,37.6585365854,647,1280,.505,0,0,.000,249,396,.629,216,2.63414634146,573,6.98780487805,789,9.62195121951,206,2.51219512195,68,0.829268292683,38,0.463414634146,250,3.0487804878,220,1543,18.8170731707,
Truck Robinson,PHO,1981-1982, 6-7,PF,30,74,2745,37.0945945946,579,1128,.513,1,1,1.000,255,371,.687,202,2.72972972973,519,7.01351351351,721,9.74324324324,179,2.41891891892,42,0.567567567568,28,0.378378378378,202,2.72972972973,215,1414,19.1081081081,
Truck Robinson,NYK,1982-1983, 6-7,PF,31,81,2426,29.950617284,326,706,.462,0,0,.000,118,201,.587,199,2.45679012346,458,5.65432098765,657,8.11111111111,145,1.79012345679,57,0.703703703704,24,0.296296296296,190,2.34567901235,241,770,9.50617283951,
Truck Robinson,NYK,1983-1984, 6-7,PF,32,65,2135,32.8461538462,284,581,.489,0,0,.000,133,206,.646,171,2.63076923077,374,5.75384615385,545,8.38461538462,94,1.44615384615,43,0.661538461538,27,0.415384615385,160,2.46153846154,217,701,10.7846153846,
Truck Robinson,NYK,1984-1985, 6-7,PF,33,2,35,17.5,2,5,.400,0,0,.000,0,2,.000,6,3.0,3,1.5,9,4.5,3,1.5,2,1.0,3,1.5,5,2.5,3,4,2.0,
