Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Vern Fleming,IND,1984-1985, 6-5,PG,22,80,2486,31.075,433,922,.470,0,4,.000,260,339,.767,148,1.85,175,2.1875,323,4.0375,247,3.0875,99,1.2375,8,0.1,197,2.4625,232,1126,14.075,
Vern Fleming,IND,1985-1986, 6-5,PG,23,80,2870,35.875,436,862,.506,1,6,.167,263,353,.745,102,1.275,284,3.55,386,4.825,505,6.3125,131,1.6375,5,0.0625,208,2.6,230,1136,14.2,
Vern Fleming,IND,1986-1987, 6-5,PG,24,82,2549,31.0853658537,370,727,.509,2,10,.200,238,302,.788,109,1.32926829268,225,2.74390243902,334,4.07317073171,473,5.76829268293,109,1.32926829268,18,0.219512195122,167,2.03658536585,222,980,11.9512195122,
Vern Fleming,IND,1987-1988, 6-5,PG,25,80,2733,34.1625,442,845,.523,0,13,.000,227,283,.802,106,1.325,258,3.225,364,4.55,568,7.1,115,1.4375,11,0.1375,175,2.1875,225,1111,13.8875,
Vern Fleming,IND,1988-1989, 6-5,PG,26,76,2552,33.5789473684,419,814,.515,3,23,.130,243,304,.799,85,1.11842105263,225,2.96052631579,310,4.07894736842,494,6.5,77,1.01315789474,12,0.157894736842,192,2.52631578947,212,1084,14.2631578947,
Vern Fleming,IND,1989-1990, 6-5,PG,27,82,2876,35.0731707317,467,919,.508,12,34,.353,230,294,.782,118,1.43902439024,204,2.48780487805,322,3.92682926829,610,7.43902439024,92,1.12195121951,10,0.121951219512,206,2.51219512195,213,1176,14.3414634146,
Vern Fleming,IND,1990-1991, 6-5,PG,28,69,1929,27.9565217391,356,671,.531,4,18,.222,161,221,.729,83,1.20289855072,131,1.89855072464,214,3.10144927536,369,5.34782608696,76,1.10144927536,13,0.188405797101,137,1.98550724638,116,877,12.7101449275,
Vern Fleming,IND,1991-1992, 6-5,PG,29,82,1737,21.1829268293,294,610,.482,6,27,.222,132,179,.737,69,0.841463414634,140,1.70731707317,209,2.5487804878,266,3.24390243902,56,0.682926829268,7,0.0853658536585,140,1.70731707317,134,726,8.85365853659,
Vern Fleming,IND,1992-1993, 6-5,PG,30,75,1503,20.04,280,554,.505,7,36,.194,143,197,.726,63,0.84,106,1.41333333333,169,2.25333333333,224,2.98666666667,63,0.84,9,0.12,121,1.61333333333,126,710,9.46666666667,
Vern Fleming,IND,1993-1994, 6-5,PG,31,55,1053,19.1454545455,147,318,.462,0,4,.000,64,87,.736,27,0.490909090909,96,1.74545454545,123,2.23636363636,173,3.14545454545,40,0.727272727273,6,0.109090909091,87,1.58181818182,98,358,6.50909090909,
Vern Fleming,IND,1994-1995, 6-5,PG,32,55,686,12.4727272727,93,188,.495,0,7,.000,65,90,.722,20,0.363636363636,68,1.23636363636,88,1.6,109,1.98181818182,27,0.490909090909,1,0.0181818181818,43,0.781818181818,80,251,4.56363636364,
Vern Fleming,NJN,1995-1996, 6-5,PG,33,77,1747,22.6883116883,227,524,.433,3,28,.107,133,177,.751,49,0.636363636364,121,1.57142857143,170,2.20779220779,255,3.31168831169,41,0.532467532468,5,0.0649350649351,122,1.58441558442,115,590,7.66233766234,
