Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Vinnie Johnson,SEA,1979-1980, 6-2,SG,23,38,325,8.55263157895,45,115,.391,0,1,.000,31,39,.795,19,0.5,36,0.947368421053,55,1.44736842105,54,1.42105263158,19,0.5,4,0.105263157895,42,1.10526315789,40,121,3.18421052632,
Vinnie Johnson,SEA,1980-1981, 6-2,PG,24,81,2311,28.5308641975,419,785,.534,1,5,.200,214,270,.793,193,2.38271604938,173,2.13580246914,366,4.51851851852,341,4.20987654321,78,0.962962962963,20,0.246913580247,216,2.66666666667,198,1053,13.0,
Vinnie Johnson,TOT,1981-1982, 6-2,SG,25,74,1295,17.5,217,444,.489,3,12,.250,107,142,.754,82,1.10810810811,77,1.04054054054,159,2.14864864865,171,2.31081081081,56,0.756756756757,25,0.337837837838,96,1.2972972973,101,544,7.35135135135,
Vinnie Johnson,SEA,1981-1982, 6-2,SG,25,7,104,14.8571428571,9,22,.409,0,1,.000,9,12,.750,7,1.0,8,1.14285714286,15,2.14285714286,11,1.57142857143,6,0.857142857143,2,0.285714285714,5,0.714285714286,8,27,3.85714285714,
Vinnie Johnson,DET,1981-1982, 6-2,SG,25,67,1191,17.776119403,208,422,.493,3,11,.273,98,130,.754,75,1.11940298507,69,1.02985074627,144,2.14925373134,160,2.38805970149,50,0.746268656716,23,0.34328358209,91,1.35820895522,93,517,7.71641791045,
Vinnie Johnson,DET,1982-1983, 6-2,SG,26,82,2511,30.6219512195,520,1013,.513,11,40,.275,245,315,.778,167,2.03658536585,186,2.26829268293,353,4.30487804878,301,3.67073170732,93,1.13414634146,49,0.59756097561,152,1.85365853659,263,1296,15.8048780488,
Vinnie Johnson,DET,1983-1984, 6-2,SG,27,82,1909,23.2804878049,426,901,.473,4,19,.211,207,275,.753,130,1.58536585366,107,1.30487804878,237,2.89024390244,271,3.30487804878,44,0.536585365854,19,0.231707317073,135,1.64634146341,196,1063,12.9634146341,
Vinnie Johnson,DET,1984-1985, 6-2,SG,28,82,2093,25.5243902439,428,942,.454,5,27,.185,190,247,.769,134,1.63414634146,118,1.43902439024,252,3.07317073171,325,3.96341463415,71,0.865853658537,20,0.243902439024,135,1.64634146341,205,1051,12.8170731707,
Vinnie Johnson,DET,1985-1986, 6-2,SG,29,79,1978,25.0379746835,465,996,.467,2,13,.154,165,214,.771,119,1.50632911392,107,1.35443037975,226,2.86075949367,269,3.40506329114,80,1.01265822785,23,0.291139240506,88,1.11392405063,180,1097,13.8860759494,
Vinnie Johnson,DET,1986-1987, 6-2,SG,30,78,2166,27.7692307692,533,1154,.462,4,14,.286,158,201,.786,123,1.57692307692,134,1.71794871795,257,3.29487179487,300,3.84615384615,92,1.17948717949,16,0.205128205128,133,1.70512820513,159,1228,15.7435897436,
Vinnie Johnson,DET,1987-1988, 6-2,SG,31,82,1935,23.5975609756,425,959,.443,5,24,.208,147,217,.677,90,1.09756097561,141,1.71951219512,231,2.81707317073,267,3.25609756098,58,0.707317073171,18,0.219512195122,152,1.85365853659,164,1002,12.2195121951,
Vinnie Johnson,DET,1988-1989, 6-2,SG,32,82,2073,25.2804878049,462,996,.464,13,44,.295,193,263,.734,109,1.32926829268,146,1.78048780488,255,3.10975609756,242,2.9512195122,74,0.90243902439,17,0.207317073171,105,1.28048780488,155,1130,13.7804878049,
Vinnie Johnson,DET,1989-1990, 6-2,SG,33,82,1972,24.0487804878,334,775,.431,5,34,.147,131,196,.668,108,1.31707317073,148,1.80487804878,256,3.12195121951,255,3.10975609756,71,0.865853658537,13,0.158536585366,123,1.5,143,804,9.80487804878,
Vinnie Johnson,DET,1990-1991, 6-2,SG,34,82,2390,29.1463414634,406,936,.434,11,34,.324,135,209,.646,110,1.34146341463,170,2.07317073171,280,3.41463414634,271,3.30487804878,75,0.914634146341,15,0.182926829268,118,1.43902439024,166,958,11.6829268293,
Vinnie Johnson,SAS,1991-1992, 6-2,SG,35,60,1350,22.5,202,499,.405,19,60,.317,55,85,.647,67,1.11666666667,115,1.91666666667,182,3.03333333333,145,2.41666666667,41,0.683333333333,14,0.233333333333,74,1.23333333333,93,478,7.96666666667,
