Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Vitaly Potapenko,CLE,1996-1997, 6-10,C,21,80,1238,15.475,186,423,.440,1,2,.500,92,125,.736,105,1.3125,112,1.4,217,2.7125,40,0.5,26,0.325,34,0.425,109,1.3625,216,465,5.8125,
Vitaly Potapenko,CLE,1997-1998, 6-10,C,22,80,1412,17.65,234,488,.480,0,1,.000,102,144,.708,110,1.375,203,2.5375,313,3.9125,57,0.7125,27,0.3375,28,0.35,132,1.65,198,570,7.125,
Vitaly Potapenko,TOT,1998-1999, 6-10,C,23,50,1394,27.88,204,412,.495,0,1,.000,91,155,.587,114,2.28,218,4.36,332,6.64,75,1.5,35,0.7,36,0.72,100,2.0,169,499,9.98,
Vitaly Potapenko,CLE,1998-1999, 6-10,C,23,17,467,27.4705882353,55,126,.437,0,1,.000,33,49,.673,23,1.35294117647,71,4.17647058824,94,5.52941176471,16,0.941176470588,11,0.647058823529,16,0.941176470588,28,1.64705882353,53,143,8.41176470588,
Vitaly Potapenko,BOS,1998-1999, 6-10,C,23,33,927,28.0909090909,149,286,.521,0,0,.000,58,106,.547,91,2.75757575758,147,4.45454545455,238,7.21212121212,59,1.78787878788,24,0.727272727273,20,0.606060606061,72,2.18181818182,116,356,10.7878787879,
Vitaly Potapenko,BOS,1999-2000, 6-10,C,24,79,1797,22.746835443,307,615,.499,0,1,.000,109,160,.681,182,2.30379746835,317,4.01265822785,499,6.3164556962,77,0.974683544304,41,0.518987341772,29,0.367088607595,145,1.83544303797,239,723,9.15189873418,
Vitaly Potapenko,BOS,2000-2001, 6-10,C,25,82,1901,23.1829268293,248,521,.476,0,0,.000,115,158,.728,206,2.51219512195,289,3.5243902439,495,6.03658536585,64,0.780487804878,52,0.634146341463,23,0.280487804878,105,1.28048780488,228,611,7.4512195122,
Vitaly Potapenko,BOS,2001-2002, 6-10,C,26,79,1343,17.0,137,301,.455,0,0,.000,89,120,.742,167,2.11392405063,180,2.27848101266,347,4.39240506329,30,0.379746835443,37,0.46835443038,18,0.227848101266,63,0.79746835443,174,363,4.59493670886,
Vitaly Potapenko,SEA,2002-2003, 6-10,C,27,26,403,15.5,41,93,.441,0,0,.000,22,29,.759,25,0.961538461538,64,2.46153846154,89,3.42307692308,4,0.153846153846,9,0.346153846154,8,0.307692307692,25,0.961538461538,46,104,4.0,
Vitaly Potapenko,SEA,2003-2004, 6-10,C,28,65,1419,21.8307692308,200,409,.489,0,0,.000,59,92,.641,101,1.55384615385,188,2.89230769231,289,4.44615384615,53,0.815384615385,22,0.338461538462,28,0.430769230769,77,1.18461538462,161,459,7.06153846154,
Vitaly Potapenko,SEA,2004-2005, 6-10,C,29,33,335,10.1515151515,45,87,.517,0,1,.000,27,31,.871,30,0.909090909091,48,1.45454545455,78,2.36363636364,9,0.272727272727,7,0.212121212121,3,0.0909090909091,12,0.363636363636,53,117,3.54545454545,
Vitaly Potapenko,TOT,2005-2006, 6-10,C,30,33,353,10.696969697,37,71,.521,0,0,.000,10,17,.588,27,0.818181818182,37,1.12121212121,64,1.93939393939,9,0.272727272727,2,0.0606060606061,2,0.0606060606061,16,0.484848484848,50,84,2.54545454545,
Vitaly Potapenko,SEA,2005-2006, 6-10,C,30,24,321,13.375,32,64,.500,0,0,.000,10,17,.588,26,1.08333333333,36,1.5,62,2.58333333333,7,0.291666666667,2,0.0833333333333,2,0.0833333333333,14,0.583333333333,44,74,3.08333333333,
Vitaly Potapenko,SAC,2005-2006, 6-10,C,30,9,32,3.55555555556,5,7,.714,0,0,.000,0,0,.000,1,0.111111111111,1,0.111111111111,2,0.222222222222,2,0.222222222222,0,0.0,0,0.0,2,0.222222222222,6,10,1.11111111111,
Vitaly Potapenko,SAC,2006-2007, 6-10,C,31,3,13,4.33333333333,0,4,.000,0,0,.000,0,0,.000,0,0.0,2,0.666666666667,2,0.666666666667,0,0.0,0,0.0,0,0.0,2,0.666666666667,3,0,0.0,
