Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Vladimir Radmanovic,SEA,2001-2002, 6-10,PF,21,61,1230,20.1639344262,146,354,.412,66,157,.420,49,72,.681,45,0.737704918033,185,3.03278688525,230,3.77049180328,81,1.32786885246,56,0.918032786885,24,0.393442622951,72,1.18032786885,119,407,6.67213114754,
Vladimir Radmanovic,SEA,2002-2003, 6-10,PF,22,72,1910,26.5277777778,274,668,.410,104,293,.355,72,102,.706,76,1.05555555556,247,3.43055555556,323,4.48611111111,97,1.34722222222,64,0.888888888889,22,0.305555555556,100,1.38888888889,136,724,10.0555555556,
Vladimir Radmanovic,SEA,2003-2004, 6-10,PF,23,77,2321,30.1428571429,345,812,.425,140,377,.371,95,127,.748,104,1.35064935065,302,3.92207792208,406,5.27272727273,142,1.84415584416,80,1.03896103896,42,0.545454545455,109,1.41558441558,187,925,12.012987013,
Vladimir Radmanovic,SEA,2004-2005, 6-10,PF,24,63,1856,29.4603174603,266,650,.409,128,329,.389,81,103,.786,52,0.825396825397,237,3.7619047619,289,4.5873015873,86,1.36507936508,57,0.904761904762,31,0.492063492063,80,1.26984126984,172,741,11.7619047619,
Vladimir Radmanovic,TOT,2005-2006, 6-10,PF,25,77,1974,25.6363636364,262,643,.407,138,354,.390,93,114,.816,64,0.831168831169,294,3.81818181818,358,4.64935064935,136,1.76623376623,61,0.792207792208,29,0.376623376623,93,1.20779220779,210,755,9.80519480519,
Vladimir Radmanovic,SEA,2005-2006, 6-10,PF,25,47,1089,23.170212766,154,384,.401,72,196,.367,55,62,.887,39,0.829787234043,148,3.14893617021,187,3.97872340426,72,1.53191489362,32,0.68085106383,15,0.31914893617,53,1.12765957447,130,435,9.25531914894,
Vladimir Radmanovic,LAC,2005-2006, 6-10,PF,25,30,885,29.5,108,259,.417,66,158,.418,38,52,.731,25,0.833333333333,146,4.86666666667,171,5.7,64,2.13333333333,29,0.966666666667,14,0.466666666667,40,1.33333333333,80,320,10.6666666667,
Vladimir Radmanovic,LAL,2006-2007, 6-10,PF,26,55,986,17.9272727273,134,316,.424,40,118,.339,53,73,.726,53,0.963636363636,127,2.30909090909,180,3.27272727273,66,1.2,25,0.454545454545,18,0.327272727273,69,1.25454545455,125,361,6.56363636364,
Vladimir Radmanovic,LAL,2007-2008, 6-10,SF,27,65,1483,22.8153846154,198,437,.453,95,234,.406,52,65,.800,56,0.861538461538,159,2.44615384615,215,3.30769230769,123,1.89230769231,46,0.707692307692,12,0.184615384615,73,1.12307692308,147,543,8.35384615385,
Vladimir Radmanovic,TOT,2008-2009, 6-10,SF,28,78,1445,18.5256410256,196,466,.421,105,262,.401,43,58,.741,45,0.576923076923,177,2.26923076923,222,2.84615384615,81,1.03846153846,46,0.589743589744,15,0.192307692308,98,1.25641025641,111,540,6.92307692308,
Vladimir Radmanovic,LAL,2008-2009, 6-10,SF,28,46,771,16.7608695652,95,214,.444,60,136,.441,23,27,.852,18,0.391304347826,99,2.15217391304,117,2.54347826087,38,0.826086956522,28,0.608695652174,7,0.152173913043,47,1.02173913043,51,273,5.9347826087,
Vladimir Radmanovic,CHA,2008-2009, 6-10,SF,28,32,674,21.0625,101,252,.401,45,126,.357,20,31,.645,27,0.84375,78,2.4375,105,3.28125,43,1.34375,18,0.5625,8,0.25,51,1.59375,60,267,8.34375,
Vladimir Radmanovic,TOT,2009-2010, 6-10,PF,29,41,891,21.7317073171,103,273,.377,30,108,.278,20,27,.741,51,1.24390243902,127,3.09756097561,178,4.34146341463,45,1.09756097561,29,0.707317073171,7,0.170731707317,44,1.07317073171,97,256,6.24390243902,
Vladimir Radmanovic,CHA,2009-2010, 6-10,PF,29,8,133,16.625,14,42,.333,7,22,.318,4,6,.667,8,1.0,21,2.625,29,3.625,7,0.875,3,0.375,1,0.125,5,0.625,18,39,4.875,
Vladimir Radmanovic,GSW,2009-2010, 6-10,PF,29,33,758,22.9696969697,89,231,.385,23,86,.267,16,21,.762,43,1.30303030303,106,3.21212121212,149,4.51515151515,38,1.15151515152,26,0.787878787879,6,0.181818181818,39,1.18181818182,79,217,6.57575757576,
Vladimir Radmanovic,GSW,2010-2011, 6-10,PF,30,74,1169,15.7972972973,137,318,.431,70,173,.405,30,34,.882,64,0.864864864865,148,2.0,212,2.86486486486,79,1.06756756757,44,0.594594594595,44,0.594594594595,57,0.77027027027,157,374,5.05405405405,
Vladimir Radmanovic,ATL,2011-2012, 6-10,SF,31,49,755,15.4081632653,74,197,.376,50,135,.370,22,29,.759,34,0.69387755102,109,2.22448979592,143,2.91836734694,54,1.10204081633,21,0.428571428571,15,0.30612244898,35,0.714285714286,62,220,4.48979591837,
Vladimir Radmanovic,CHI,2012-2013, 6-10,PF,32,20,93,4.65,8,31,.258,4,21,.190,0,0,.000,8,0.4,12,0.6,20,1.0,6,0.3,6,0.3,3,0.15,7,0.35,22,20,1.0,
