Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Walt Williams,SAC,1992-1993, 6-8,SF,22,59,1673,28.3559322034,358,823,.435,61,191,.319,224,302,.742,115,1.94915254237,150,2.54237288136,265,4.49152542373,178,3.01694915254,66,1.1186440678,29,0.491525423729,179,3.03389830508,209,1001,16.9661016949,
Walt Williams,SAC,1993-1994, 6-8,SF,23,57,1356,23.7894736842,226,580,.390,38,132,.288,148,233,.635,71,1.24561403509,164,2.87719298246,235,4.12280701754,132,2.31578947368,52,0.912280701754,23,0.40350877193,145,2.54385964912,200,638,11.1929824561,
Walt Williams,SAC,1994-1995, 6-8,SF,24,77,2739,35.5714285714,445,998,.446,103,296,.348,266,364,.731,100,1.2987012987,245,3.18181818182,345,4.48051948052,316,4.1038961039,123,1.5974025974,63,0.818181818182,243,3.15584415584,265,1259,16.3506493506,
Walt Williams,TOT,1995-1996, 6-8,SF,25,73,2169,29.7123287671,359,808,.444,114,293,.389,163,232,.703,99,1.35616438356,220,3.01369863014,319,4.3698630137,230,3.15068493151,85,1.16438356164,58,0.794520547945,151,2.06849315068,238,995,13.6301369863,
Walt Williams,SAC,1995-1996, 6-8,SF,25,45,1381,30.6888888889,235,540,.435,58,170,.341,130,172,.756,62,1.37777777778,145,3.22222222222,207,4.6,165,3.66666666667,53,1.17777777778,42,0.933333333333,103,2.28888888889,151,658,14.6222222222,
Walt Williams,MIA,1995-1996, 6-8,SF,25,28,788,28.1428571429,124,268,.463,56,123,.455,33,60,.550,37,1.32142857143,75,2.67857142857,112,4.0,65,2.32142857143,32,1.14285714286,16,0.571428571429,48,1.71428571429,87,337,12.0357142857,
Walt Williams,TOR,1996-1997, 6-8,SF,26,73,2647,36.2602739726,419,982,.427,175,437,.400,186,243,.765,103,1.41095890411,264,3.61643835616,367,5.02739726027,197,2.69863013699,97,1.32876712329,62,0.849315068493,174,2.38356164384,282,1199,16.4246575342,
Walt Williams,TOT,1997-1998, 6-8,SF,27,59,1470,24.9152542373,210,544,.386,80,219,.365,108,125,.864,50,0.847457627119,150,2.54237288136,200,3.38983050847,122,2.06779661017,59,1.0,35,0.593220338983,92,1.5593220339,161,608,10.3050847458,
Walt Williams,TOR,1997-1998, 6-8,SF,27,28,876,31.2857142857,125,319,.392,49,129,.380,49,60,.817,27,0.964285714286,91,3.25,118,4.21428571429,69,2.46428571429,40,1.42857142857,23,0.821428571429,52,1.85714285714,100,348,12.4285714286,
Walt Williams,POR,1997-1998, 6-8,SF,27,31,594,19.1612903226,85,225,.378,31,90,.344,59,65,.908,23,0.741935483871,59,1.90322580645,82,2.64516129032,53,1.70967741935,19,0.612903225806,12,0.387096774194,40,1.29032258065,61,260,8.38709677419,
Walt Williams,POR,1998-1999, 6-8,SF,28,48,1044,21.75,147,347,.424,63,144,.438,89,107,.832,36,0.75,107,2.22916666667,143,2.97916666667,80,1.66666666667,37,0.770833333333,28,0.583333333333,63,1.3125,101,446,9.29166666667,
Walt Williams,HOU,1999-2000, 6-8,SF,29,76,1859,24.4605263158,312,681,.458,102,261,.391,101,123,.821,69,0.907894736842,237,3.11842105263,306,4.02631578947,157,2.06578947368,49,0.644736842105,44,0.578947368421,113,1.48684210526,190,827,10.8815789474,
Walt Williams,HOU,2000-2001, 6-8,SF,30,72,1583,21.9861111111,202,513,.394,98,248,.395,97,126,.770,31,0.430555555556,214,2.97222222222,245,3.40277777778,97,1.34722222222,30,0.416666666667,28,0.388888888889,73,1.01388888889,153,599,8.31944444444,
Walt Williams,HOU,2001-2002, 6-8,SF,31,48,1117,23.2708333333,166,396,.419,78,183,.426,40,51,.784,37,0.770833333333,125,2.60416666667,162,3.375,69,1.4375,18,0.375,10,0.208333333333,53,1.10416666667,106,450,9.375,
Walt Williams,DAL,2002-2003, 6-8,SF,32,66,1161,17.5909090909,134,341,.393,64,171,.374,31,50,.620,53,0.80303030303,154,2.33333333333,207,3.13636363636,59,0.893939393939,42,0.636363636364,26,0.393939393939,35,0.530303030303,141,363,5.5,
