Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Wayne Embry,CIN,1958-1959, 6-8,C,21,66,1590,24.0909090909,272,702,.387,.000,.000,.000,206,314,.656,.000,0.0,.000,0.0,597,9.04545454545,96,1.45454545455,.000,0.0,.000,0.0,.000,0.0,232,750,11.3636363636,
Wayne Embry,CIN,1959-1960, 6-8,C,22,73,1594,21.8356164384,303,690,.439,.000,.000,.000,167,325,.514,.000,0.0,.000,0.0,692,9.47945205479,83,1.13698630137,.000,0.0,.000,0.0,.000,0.0,226,773,10.5890410959,
Wayne Embry,CIN,1960-1961, 6-8,C,23,79,2233,28.2658227848,458,1015,.451,.000,.000,.000,221,331,.668,.000,0.0,.000,0.0,864,10.9367088608,127,1.60759493671,.000,0.0,.000,0.0,.000,0.0,286,1137,14.3924050633,
Wayne Embry,CIN,1961-1962, 6-8,C,24,75,2623,34.9733333333,564,1210,.466,.000,.000,.000,356,516,.690,.000,0.0,.000,0.0,977,13.0266666667,182,2.42666666667,.000,0.0,.000,0.0,.000,0.0,286,1484,19.7866666667,
Wayne Embry,CIN,1962-1963, 6-8,C,25,76,2511,33.0394736842,534,1165,.458,.000,.000,.000,343,514,.667,.000,0.0,.000,0.0,936,12.3157894737,177,2.32894736842,.000,0.0,.000,0.0,.000,0.0,286,1411,18.5657894737,
Wayne Embry,CIN,1963-1964, 6-8,C,26,80,2915,36.4375,556,1213,.458,.000,.000,.000,271,417,.650,.000,0.0,.000,0.0,925,11.5625,113,1.4125,.000,0.0,.000,0.0,.000,0.0,325,1383,17.2875,
Wayne Embry,CIN,1964-1965, 6-8,C,27,74,2243,30.3108108108,352,772,.456,.000,.000,.000,239,371,.644,.000,0.0,.000,0.0,741,10.0135135135,92,1.24324324324,.000,0.0,.000,0.0,.000,0.0,297,943,12.7432432432,
Wayne Embry,CIN,1965-1966, 6-8,C,28,80,1882,23.525,232,564,.411,.000,.000,.000,141,234,.603,.000,0.0,.000,0.0,525,6.5625,81,1.0125,.000,0.0,.000,0.0,.000,0.0,287,605,7.5625,
Wayne Embry,BOS,1966-1967, 6-8,C,29,72,729,10.125,147,359,.409,.000,.000,.000,82,144,.569,.000,0.0,.000,0.0,294,4.08333333333,42,0.583333333333,.000,0.0,.000,0.0,.000,0.0,137,376,5.22222222222,
Wayne Embry,BOS,1967-1968, 6-8,C,30,78,1088,13.9487179487,193,483,.400,.000,.000,.000,109,185,.589,.000,0.0,.000,0.0,321,4.11538461538,52,0.666666666667,.000,0.0,.000,0.0,.000,0.0,174,495,6.34615384615,
Wayne Embry,MIL,1968-1969, 6-8,C,31,78,2355,30.1923076923,382,894,.427,.000,.000,.000,259,390,.664,.000,0.0,.000,0.0,672,8.61538461538,149,1.91025641026,.000,0.0,.000,0.0,.000,0.0,302,1023,13.1153846154,
