Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Wes Matthews,TOT,1980-1981, 6-1,PG,21,79,2266,28.6835443038,385,779,.494,5,21,.238,202,252,.802,46,0.582278481013,93,1.17721518987,139,1.75949367089,411,5.20253164557,107,1.35443037975,17,0.215189873418,261,3.30379746835,242,977,12.3670886076,
Wes Matthews,WSB,1980-1981, 6-1,PG,21,45,1161,25.8,224,449,.499,5,15,.333,99,129,.767,30,0.666666666667,37,0.822222222222,67,1.48888888889,199,4.42222222222,46,1.02222222222,10,0.222222222222,149,3.31111111111,120,552,12.2666666667,
Wes Matthews,ATL,1980-1981, 6-1,PG,21,34,1105,32.5,161,330,.488,0,6,.000,103,123,.837,16,0.470588235294,56,1.64705882353,72,2.11764705882,212,6.23529411765,61,1.79411764706,7,0.205882352941,112,3.29411764706,122,425,12.5,
Wes Matthews,ATL,1981-1982, 6-1,PG,22,47,837,17.8085106383,131,298,.440,2,8,.250,60,79,.759,19,0.404255319149,39,0.829787234043,58,1.23404255319,139,2.95744680851,53,1.12765957447,2,0.0425531914894,63,1.34042553191,129,324,6.89361702128,
Wes Matthews,ATL,1982-1983, 6-1,PG,23,64,1187,18.546875,171,424,.403,14,48,.292,86,112,.768,25,0.390625,66,1.03125,91,1.421875,249,3.890625,60,0.9375,8,0.125,123,1.921875,129,442,6.90625,
Wes Matthews,TOT,1983-1984, 6-1,PG,24,20,388,19.4,61,131,.466,1,8,.125,27,36,.750,7,0.35,20,1.0,27,1.35,83,4.15,16,0.8,3,0.15,40,2.0,45,150,7.5,
Wes Matthews,ATL,1983-1984, 6-1,PG,24,6,96,16.0,16,30,.533,0,1,.000,18,22,.818,1,0.166666666667,3,0.5,4,0.666666666667,21,3.5,5,0.833333333333,1,0.166666666667,10,1.66666666667,13,50,8.33333333333,
Wes Matthews,PHI,1983-1984, 6-1,PG,24,14,292,20.8571428571,45,101,.446,1,7,.143,9,14,.643,6,0.428571428571,17,1.21428571429,23,1.64285714286,62,4.42857142857,11,0.785714285714,2,0.142857142857,30,2.14285714286,32,100,7.14285714286,
Wes Matthews,CHI,1984-1985, 6-1,PG,25,78,1523,19.5256410256,191,386,.495,2,16,.125,59,85,.694,16,0.205128205128,51,0.653846153846,67,0.858974358974,354,4.53846153846,73,0.935897435897,12,0.153846153846,124,1.58974358974,133,443,5.67948717949,
Wes Matthews,SAS,1985-1986, 6-1,PG,26,75,1853,24.7066666667,320,603,.531,4,25,.160,173,211,.820,30,0.4,101,1.34666666667,131,1.74666666667,476,6.34666666667,87,1.16,32,0.426666666667,232,3.09333333333,168,817,10.8933333333,
Wes Matthews,LAL,1986-1987, 6-1,PG,27,50,532,10.64,89,187,.476,1,3,.333,29,36,.806,13,0.26,34,0.68,47,0.94,100,2.0,23,0.46,4,0.08,51,1.02,53,208,4.16,
Wes Matthews,LAL,1987-1988, 6-1,PG,28,51,706,13.8431372549,114,248,.460,7,30,.233,54,65,.831,16,0.313725490196,50,0.980392156863,66,1.29411764706,138,2.70588235294,25,0.490196078431,3,0.0588235294118,69,1.35294117647,65,289,5.66666666667,
Wes Matthews,ATL,1989-1990, 6-1,PG,30,1,13,13.0,1,3,.333,0,1,.000,2,2,1.000,0,0.0,0,0.0,0,0.0,5,5.0,0,0.0,0,0.0,0,0.0,0,4,4.0,
