Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Willie Anderson,SAS,1988-1989, 6-7,SF,22,81,2738,33.8024691358,640,1285,.498,4,21,.190,224,289,.775,152,1.87654320988,265,3.27160493827,417,5.14814814815,372,4.59259259259,150,1.85185185185,62,0.765432098765,261,3.22222222222,295,1508,18.6172839506,
Willie Anderson,SAS,1989-1990, 6-7,SG,23,82,2788,34.0,532,1082,.492,7,26,.269,217,290,.748,115,1.40243902439,257,3.13414634146,372,4.53658536585,364,4.43902439024,111,1.35365853659,58,0.707317073171,198,2.41463414634,252,1288,15.7073170732,
Willie Anderson,SAS,1990-1991, 6-7,SG,24,75,2592,34.56,453,991,.457,7,35,.200,170,213,.798,68,0.906666666667,283,3.77333333333,351,4.68,358,4.77333333333,79,1.05333333333,46,0.613333333333,167,2.22666666667,226,1083,14.44,
Willie Anderson,SAS,1991-1992, 6-7,SG,25,57,1889,33.1403508772,312,685,.455,13,56,.232,107,138,.775,62,1.08771929825,238,4.17543859649,300,5.26315789474,302,5.29824561404,54,0.947368421053,51,0.894736842105,140,2.45614035088,151,744,13.0526315789,
Willie Anderson,SAS,1992-1993, 6-7,SG,26,38,560,14.7368421053,80,186,.430,1,8,.125,22,28,.786,7,0.184210526316,50,1.31578947368,57,1.5,79,2.07894736842,14,0.368421052632,6,0.157894736842,44,1.15789473684,52,183,4.81578947368,
Willie Anderson,SAS,1993-1994, 6-7,SG,27,80,2488,31.1,394,837,.471,22,68,.324,145,171,.848,68,0.85,174,2.175,242,3.025,347,4.3375,71,0.8875,46,0.575,153,1.9125,187,955,11.9375,
Willie Anderson,SAS,1994-1995, 6-7,SG,28,38,556,14.6315789474,76,162,.469,3,19,.158,30,41,.732,15,0.394736842105,40,1.05263157895,55,1.44736842105,52,1.36842105263,26,0.684210526316,10,0.263157894737,38,1.0,71,185,4.86842105263,
Willie Anderson,TOT,1995-1996, 6-7,SG,29,76,2060,27.1052631579,288,660,.436,34,120,.283,132,163,.810,48,0.631578947368,198,2.60526315789,246,3.23684210526,197,2.59210526316,75,0.986842105263,59,0.776315789474,143,1.88157894737,230,742,9.76315789474,
Willie Anderson,TOR,1995-1996, 6-7,SG,29,49,1564,31.9183673469,232,527,.440,29,95,.305,113,132,.856,35,0.714285714286,151,3.08163265306,186,3.79591836735,149,3.04081632653,58,1.18367346939,51,1.04081632653,119,2.42857142857,171,606,12.3673469388,
Willie Anderson,NYK,1995-1996, 6-7,SG,29,27,496,18.3703703704,56,133,.421,5,25,.200,19,31,.613,13,0.481481481481,47,1.74074074074,60,2.22222222222,48,1.77777777778,17,0.62962962963,8,0.296296296296,24,0.888888888889,59,136,5.03703703704,
Willie Anderson,MIA,1996-1997, 6-7,SG,30,28,303,10.8214285714,29,64,.453,8,19,.421,17,20,.850,15,0.535714285714,27,0.964285714286,42,1.5,34,1.21428571429,14,0.5,4,0.142857142857,19,0.678571428571,36,83,2.96428571429,
