Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Xavier McDaniel,SEA,1985-1986, 6-7,SF,22,82,2706,33.0,576,1176,.490,2,10,.200,250,364,.687,307,3.74390243902,348,4.24390243902,655,7.98780487805,193,2.35365853659,101,1.23170731707,37,0.451219512195,248,3.0243902439,305,1404,17.1219512195,
Xavier McDaniel,SEA,1986-1987, 6-7,SF,23,82,3031,36.9634146341,806,1583,.509,3,14,.214,275,395,.696,338,4.12195121951,367,4.4756097561,705,8.59756097561,207,2.5243902439,115,1.40243902439,52,0.634146341463,234,2.85365853659,300,1890,23.0487804878,
Xavier McDaniel,SEA,1987-1988, 6-7,SF,24,78,2703,34.6538461538,687,1407,.488,14,50,.280,281,393,.715,206,2.64102564103,312,4.0,518,6.64102564103,263,3.37179487179,96,1.23076923077,52,0.666666666667,223,2.85897435897,230,1669,21.3974358974,
Xavier McDaniel,SEA,1988-1989, 6-7,SF,25,82,2385,29.0853658537,677,1385,.489,11,36,.306,312,426,.732,177,2.15853658537,256,3.12195121951,433,5.28048780488,134,1.63414634146,84,1.0243902439,40,0.487804878049,210,2.56097560976,231,1677,20.4512195122,
Xavier McDaniel,SEA,1989-1990, 6-7,SF,26,69,2432,35.2463768116,611,1233,.496,5,17,.294,244,333,.733,165,2.39130434783,282,4.08695652174,447,6.47826086957,171,2.47826086957,73,1.05797101449,36,0.521739130435,187,2.71014492754,231,1471,21.3188405797,
Xavier McDaniel,TOT,1990-1991, 6-7,SF,27,81,2634,32.5185185185,590,1186,.497,0,8,.000,193,267,.723,173,2.13580246914,384,4.74074074074,557,6.87654320988,187,2.30864197531,76,0.938271604938,46,0.567901234568,184,2.27160493827,264,1373,16.950617284,
Xavier McDaniel,SEA,1990-1991, 6-7,SF,27,15,529,35.2666666667,139,290,.479,0,3,.000,49,69,.710,36,2.4,45,3.0,81,5.4,38,2.53333333333,26,1.73333333333,4,0.266666666667,40,2.66666666667,50,327,21.8,
Xavier McDaniel,PHO,1990-1991, 6-7,SF,27,66,2105,31.8939393939,451,896,.503,0,5,.000,144,198,.727,137,2.07575757576,339,5.13636363636,476,7.21212121212,149,2.25757575758,50,0.757575757576,42,0.636363636364,144,2.18181818182,214,1046,15.8484848485,
Xavier McDaniel,NYK,1991-1992, 6-7,SF,28,82,2344,28.5853658537,488,1021,.478,12,39,.308,137,192,.714,176,2.14634146341,284,3.46341463415,460,5.60975609756,149,1.81707317073,57,0.69512195122,24,0.292682926829,147,1.79268292683,241,1125,13.7195121951,
Xavier McDaniel,BOS,1992-1993, 6-7,PF,29,82,2215,27.012195122,457,924,.495,6,22,.273,191,241,.793,168,2.0487804878,321,3.91463414634,489,5.96341463415,163,1.98780487805,72,0.878048780488,51,0.621951219512,171,2.08536585366,249,1111,13.5487804878,
Xavier McDaniel,BOS,1993-1994, 6-7,SF,30,82,1971,24.0365853659,387,839,.461,10,41,.244,144,213,.676,142,1.73170731707,258,3.14634146341,400,4.87804878049,126,1.53658536585,48,0.585365853659,39,0.475609756098,116,1.41463414634,193,928,11.3170731707,
Xavier McDaniel,BOS,1994-1995, 6-7,SF,31,68,1430,21.0294117647,246,546,.451,6,21,.286,89,125,.712,94,1.38235294118,206,3.02941176471,300,4.41176470588,108,1.58823529412,30,0.441176470588,20,0.294117647059,89,1.30882352941,146,587,8.63235294118,
Xavier McDaniel,NJN,1996-1997, 6-7,PF,33,62,1170,18.8709677419,138,355,.389,5,25,.200,65,89,.730,124,2.0,194,3.12903225806,318,5.12903225806,65,1.04838709677,36,0.58064516129,17,0.274193548387,70,1.12903225806,144,346,5.58064516129,
Xavier McDaniel,NJN,1997-1998, 6-7,SF,34,20,180,9.0,10,30,.333,0,0,.000,5,8,.625,12,0.6,19,0.95,31,1.55,9,0.45,3,0.15,2,0.1,8,0.4,23,25,1.25,
