Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Zaid Abdul-Aziz,TOT,1968-1969, 6-9,C,22,49,945,19.2857142857,144,390,.369,.000,.000,.000,70,113,.619,.000,0.0,.000,0.0,409,8.34693877551,37,0.755102040816,.000,0.0,.000,0.0,.000,0.0,115,358,7.30612244898,
Zaid Abdul-Aziz,CIN,1968-1969, 6-9,,22,20,108,5.4,18,43,.419,.000,.000,.000,2,7,.286,.000,0.0,.000,0.0,31,1.55,4,0.2,.000,0.0,.000,0.0,.000,0.0,17,38,1.9,
Zaid Abdul-Aziz,MIL,1968-1969, 6-9,C,22,29,837,28.8620689655,126,347,.363,.000,.000,.000,68,106,.642,.000,0.0,.000,0.0,378,13.0344827586,33,1.13793103448,.000,0.0,.000,0.0,.000,0.0,98,320,11.0344827586,
Zaid Abdul-Aziz,MIL,1969-1970, 6-9,PF,23,80,1637,20.4625,237,546,.434,.000,.000,.000,119,185,.643,.000,0.0,.000,0.0,603,7.5375,62,0.775,.000,0.0,.000,0.0,.000,0.0,167,593,7.4125,
Zaid Abdul-Aziz,SEA,1970-1971, 6-9,C,24,61,1276,20.9180327869,263,597,.441,.000,.000,.000,139,188,.739,.000,0.0,.000,0.0,468,7.67213114754,42,0.688524590164,.000,0.0,.000,0.0,.000,0.0,118,665,10.9016393443,
Zaid Abdul-Aziz,SEA,1971-1972, 6-9,C,25,58,1780,30.6896551724,322,751,.429,.000,.000,.000,154,214,.720,.000,0.0,.000,0.0,654,11.275862069,124,2.13793103448,.000,0.0,.000,0.0,.000,0.0,178,798,13.7586206897,
Zaid Abdul-Aziz,HOU,1972-1973, 6-9,C,26,48,900,18.75,149,375,.397,.000,.000,.000,119,162,.735,.000,0.0,.000,0.0,304,6.33333333333,53,1.10416666667,.000,0.0,.000,0.0,.000,0.0,108,417,8.6875,
Zaid Abdul-Aziz,HOU,1973-1974, 6-9,C,27,79,2459,31.1265822785,336,732,.459,.000,.000,.000,193,240,.804,259,3.27848101266,664,8.40506329114,923,11.6835443038,166,2.10126582278,80,1.01265822785,104,1.3164556962,.000,0.0,227,865,10.9493670886,
Zaid Abdul-Aziz,HOU,1974-1975, 6-9,C,28,65,1450,22.3076923077,235,538,.437,.000,.000,.000,159,203,.783,154,2.36923076923,334,5.13846153846,488,7.50769230769,84,1.29230769231,37,0.569230769231,74,1.13846153846,.000,0.0,128,629,9.67692307692,
Zaid Abdul-Aziz,SEA,1975-1976, 6-9,C,29,27,223,8.25925925926,35,75,.467,.000,.000,.000,16,29,.552,30,1.11111111111,46,1.7037037037,76,2.81481481481,16,0.592592592593,8,0.296296296296,15,0.555555555556,.000,0.0,29,86,3.18518518519,
Zaid Abdul-Aziz,BUF,1976-1977, 6-9,C,30,22,195,8.86363636364,25,74,.338,.000,.000,.000,33,43,.767,41,1.86363636364,49,2.22727272727,90,4.09090909091,7,0.318181818182,3,0.136363636364,9,0.409090909091,.000,0.0,21,83,3.77272727273,
Zaid Abdul-Aziz,TOT,1977-1978, 6-9,PF,31,16,158,9.875,23,60,.383,.000,.000,.000,17,23,.739,19,1.1875,31,1.9375,50,3.125,10,0.625,3,0.1875,3,0.1875,14,0.875,29,63,3.9375,
Zaid Abdul-Aziz,BOS,1977-1978, 6-9,C,31,2,24,12.0,3,13,.231,.000,.000,.000,2,3,.667,6,3.0,9,4.5,15,7.5,3,1.5,1,0.5,1,0.5,3,1.5,4,8,4.0,
Zaid Abdul-Aziz,HOU,1977-1978, 6-9,PF,31,14,134,9.57142857143,20,47,.426,.000,.000,.000,15,20,.750,13,0.928571428571,22,1.57142857143,35,2.5,7,0.5,2,0.142857142857,2,0.142857142857,11,0.785714285714,25,55,3.92857142857,
